patent_id,patent_date,fields,forward5,Y,CTO,STO,PK,SK,TCT,MF,TS,NC,COL,INV,TKH,CKH,PKH,TTS,CTS,PTS,mean_conf_pro,mean_conf_anti,var_conf_pro,var_conf_anti,conf_gap_change,H_final,delta_H,cross_domain_support,cross_domain_attack,same_domain_support,same_domain_attack,acceptability_gap,fact_ratio_pro,fact_ratio_anti,final_prediction,prediction_volatility,final_pred_technology,final_pred_application,final_pred_user,final_pred_ecosystem,final_pred_businessmodel,total_rounds,term_unanimous,term_extended_debate,semantic_coherence
10000908,2018-06-19,07,11,1,0.4600000000000001,0.74,10,2,1662.5,B60K11,10,2,0,4,957,32,925,6857,41,6816,0.75,0.575,0.0,0.0025,-0.3833,0.9649,-0.0433,8.0,12.0,2.0,3.0,10.0,1.0,0.0,0,0.4,0,0,0,0,0,1,1,0,0.7635
10001012,2018-06-19,09,1,0,0.625,0.625,4,2,7948.5,F01D5,3,14,0,8,1938,350,1588,17445,1536,15909,0.8,0.5,0.002222,0.0,-0.59,0.6323,0.2168,16.0,4.0,4.0,1.0,20.0,2.0,0.0,1,0.2,1,1,1,1,1,1,1,0,0.7025
10001057,2018-06-19,09,1,0,0.5454545454545455,0.8760330578512396,17,1,6342.0,F02B75,5,9,0,1,81,15,66,223,40,183,0.7875,0.55,0.001094,0.0025,-0.61,0.6995,0.1814,12.0,8.0,3.0,2.0,15.0,1.5,0.0,1,0.4,1,1,1,1,1,1,1,0,0.7295
10001069,2018-06-19,09,0,0,0.0,0.375,5,0,5120.5,F02D41,7,11,0,1,7161,692,6469,14182,865,13317,0.75,0.625,0.00125,0.000625,0.05,0.8281,0.0151,14.0,6.0,3.0,2.0,13.0,2.5,0.0,1,0.0,1,1,1,0,1,1,1,0,0.7315
10001071,2018-06-19,08,1,0,,,0,1,,F02B47,3,14,0,3,23180,879,22301,178030,8644,169386,0.7825,0.625,0.001044,0.000625,-0.677,0.7148,0.153,12.0,8.0,3.0,2.0,15.0,1.5,0.0,1,0.4,1,1,1,1,1,1,1,0,0.7299
10001074,2018-06-19,09,0,0,0.7272727272727273,0.7933884297520661,11,0,3304.0,F02D23,5,2,0,2,23292,1822,21470,160053,13438,146615,0.7688,0.55,0.000586,0.0,-0.58,0.7577,0.1262,12.0,8.0,3.0,2.0,15.0,4.0,0.0,1,0.4,1,1,1,1,1,1,1,0,0.6534
10001087,2018-06-19,08,0,0,0.7337278106508875,0.9201183431952664,26,0,4585.0,F02M26,3,2,0,1,0,0,0,0,0,0,0.65,0.5889,0.0,0.020432,0.495,0.8307,0.1634,16.0,4.0,5.0,0.0,-21.0,0.0,0.0,0,0.2,1,0,0,0,0,1,1,0,0.6984
10001090,2018-06-19,04,0,0,,,0,20,,F02M27,4,3,0,2,244,3,241,402,0,402,0.7722,0.65,0.002284,0.0,0.6,0.7514,0.0599,19.0,1.0,2.0,3.0,21.0,2.5,0.0,1,0.2,1,1,1,1,0,1,1,0,0.7048
10001091,2018-06-19,01,0,0,0.8199445983379501,0.8753462603878117,25,19,11886.0,F01N3,12,2,0,13,1429,12,1417,6385,33,6352,0.775,0.0,0.000625,0.0,-0.05,0.7219,0.0894,16.0,4.0,4.0,1.0,20.0,2.5,0.0,1,0.0,1,1,1,1,1,1,1,0,0.7082
10001093,2018-06-19,01,0,0,0.0,0.0,2,0,3720.5,F02M35,1,19,0,1,12823,1815,11008,77331,13128,64203,0.72,0.5909,0.002178,0.003554,0.1133,0.9418,-0.0188,10.6667,9.3333,2.6667,2.3333,12.0,0.75,0.0,0,0.2,1,0,0,0,0,3,0,1,0.7496
10005450,2018-06-26,01,0,0,0.0,0.0,1,0,5824.0,B60W20,8,11,0,6,23335,1830,21505,160222,13457,146765,0.775,0.0,0.000625,0.0,-0.05,0.7219,0.0894,17.0,3.0,3.0,2.0,20.0,5.0,0.0,1,0.0,1,1,1,1,1,1,1,0,0.8037
10005466,2018-06-26,01,0,0,0.7999999999999999,0.86,10,0,1701.0,B60W30,3,15,0,2,384,102,282,1968,848,1120,0.7944,0.5,0.001914,0.0,-0.58,0.6547,0.1943,16.0,4.0,4.0,1.0,20.0,4.5,0.0,1,0.2,1,1,1,1,1,1,1,0,0.802
10005469,2018-06-26,01,2,0,0.4489795918367346,0.4489795918367346,7,1,3479.0,B60W30,4,20,0,4,374,25,349,563,8,555,0.78,0.0,0.0011,0.0,-0.06,0.6995,0.1118,17.0,3.0,4.0,1.0,21.0,3.0,0.0,1,0.0,1,1,1,1,1,1,1,0,0.7911
10006323,2018-06-26,01,3,0,0.625,0.75,4,0,1480.5,F01L1,3,20,0,1,12203,1054,11149,59930,3894,56036,0.775,0.575,0.000625,0.005625,-0.615,0.7398,0.1338,11.0,9.0,2.0,3.0,13.0,1.0,0.0,1,0.4,1,1,1,1,1,1,1,0,0.7198
10006331,2018-06-26,08,0,0,0.4297520661157025,0.4462809917355372,11,1,6349.0,F01N3,3,3,0,2,1474,92,1382,4762,254,4508,0.7,0.6038,0.001471,0.002485,0.075,0.9141,-0.0406,11.2,8.8,3.0,2.0,13.8,1.0,0.0,1,0.08,1,0,0,1,1,5,0,1,0.8335
10006342,2018-06-26,09,3,0,0.5599999999999999,0.72,6,0,12110.0,F02B37,1,16,0,7,12870,1822,11048,77526,13156,64370,0.7778,0.6,0.001728,0.0,-0.6725,0.6995,0.1577,16.0,4.0,4.0,1.0,20.0,2.0,0.0,1,0.2,1,1,1,1,1,1,1,0,0.789
10006344,2018-06-26,09,0,0,0.1652892561983472,0.6446280991735538,11,0,4718.0,F02B37,3,18,0,3,12870,1822,11048,77526,13156,64370,0.78,0.0,0.0011,0.0,-0.06,0.6995,0.1118,17.0,3.0,4.0,1.0,21.0,3.5,0.0,1,0.0,1,1,1,1,1,1,1,0,0.6683
10006348,2018-06-26,09,0,0,0.7654320987654322,0.8641975308641976,9,24,6552.0,F02D23,4,7,0,2,35379,341,35038,351319,2277,349042,0.77,0.0,0.0016,0.0,-0.04,0.7314,0.0799,16.0,4.0,4.0,1.0,20.0,2.0,0.0,1,0.0,1,1,1,1,1,1,1,0,0.7231
10006350,2018-06-26,"08,09",0,0,0.0,0.0,1,0,12110.0,F02B37,8,8,0,2,23335,1830,21505,160222,13457,146765,0.7625,0.575,0.000944,0.000625,-0.595,0.7727,0.1068,12.0,8.0,3.0,2.0,15.0,1.5,0.0,1,0.4,1,1,1,1,1,1,1,0,0.6928
10006353,2018-06-26,09,1,0,0.5,0.5,2,3,7315.0,F02B37,3,5,0,7,534,48,486,349,97,252,0.7811,0.55,0.001077,0.0,-0.606,0.7072,0.1404,16.0,4.0,3.0,2.0,19.0,2.0,0.0,1,0.2,1,1,1,1,1,1,1,0,0.7049
10006380,2018-06-26,14,0,0,0.5599999999999999,0.72,5,0,1708.0,F02D19,2,11,0,4,23335,1830,21505,160222,13457,146765,0.77,0.56,0.0011,0.0034,-0.5633,0.7538,0.1649,10.0,10.0,2.5,2.5,12.5,0.6667,0.0,1,0.3,1,1,1,1,1,2,0,1,0.7067
10006382,2018-06-26,"08,09",3,0,0.6666666666666667,0.6666666666666667,3,1,1883.0,F02B37,2,2,0,2,23335,1830,21505,160222,13457,146765,0.775,0.55,0.001875,0.0025,-0.59,0.7314,0.1496,12.0,8.0,3.0,2.0,15.0,1.5,0.0,1,0.4,1,1,1,1,1,1,1,0,0.704
10006383,2018-06-26,09,1,0,,,0,1,,F02D41,2,18,0,2,35379,341,35038,351319,2277,349042,0.7167,0.5857,0.001389,0.001939,-0.43,0.9767,-0.0726,8.3333,11.6667,3.0,2.0,6.6667,1.0,0.0,0,0.1333,0,0,0,0,0,3,0,1,0.692
10006384,2018-06-26,"08,09",0,0,0.0,0.5,2,3,5796.0,F02D23,4,14,0,5,23335,1830,21505,160222,13457,146765,0.725,0.5714,0.001458,0.003112,-0.3267,0.9825,-0.0594,7.6667,12.3333,2.0,3.0,7.6667,1.25,0.0,0,0.1333,0,0,0,0,0,3,0,1,0.7595
10006388,2018-06-26,08,0,0,0.0,0.0,1,2,1715.0,F02D23,2,20,0,1,51834,150,51684,526063,1703,524360,0.7778,0.5,0.001173,0.0,-0.55,0.7174,0.1316,15.0,5.0,4.0,1.0,19.0,2.5,0.0,1,0.2,1,1,1,1,1,1,1,0,0.8173
10006389,2018-06-26,09,0,0,0.0,0.0,1,5,847.0,F01N3,3,4,0,4,491,29,462,1772,82,1690,0.8056,0.5,0.002469,0.0,-0.6,0.6098,0.2392,16.0,4.0,4.0,1.0,20.0,4.0,0.0,1,0.2,1,1,1,1,1,1,1,0,0.6277
10006398,2018-06-26,"01,13",0,0,0.7222222222222222,0.7777777777777777,6,0,5036.5,F02D43,2,20,0,2,6856,385,6471,63330,3557,59773,0.7688,0.55,0.001211,0.0,-0.58,0.7538,0.1301,12.0,8.0,3.0,2.0,15.0,1.5,0.0,1,0.4,1,1,1,1,1,1,1,0,0.769
10006409,2018-06-26,13,0,0,0.7407407407407407,0.8641975308641976,9,1,2555.0,F02M21,4,16,0,3,0,0,0,0,0,0,0.7867,0.5,0.001533,0.0,-0.566,0.6847,0.1643,16.0,4.0,4.0,1.0,20.0,2.0,0.0,1,0.2,1,1,1,1,1,1,1,0,0.7599
10006426,2018-06-26,14,0,0,0.4200000000000001,0.825,20,2,4333.0,F02M59,3,7,0,4,12870,1822,11048,77526,13156,64370,0.78,0.0,0.0011,0.0,-0.06,0.6995,0.1118,16.0,4.0,4.0,1.0,20.0,4.0,0.0,1,0.0,1,1,1,1,1,1,1,0,0.6667
10010815,2018-07-03,01,2,0,0.5,0.5,3,0,10150.0,B01D35,4,13,0,1,570,25,545,1432,47,1385,0.75,0.5944,0.0,0.003025,-0.4425,0.9705,-0.0418,12.0,8.0,3.0,2.0,-11.0,0.5,0.0,0,0.2,0,0,0,0,0,1,1,0,0.7453
10011268,2018-07-03,"01,07",1,0,0.0,0.0,1,0,6321.0,B60W20,4,9,0,6,215,19,196,1190,60,1130,0.78,0.0,0.0011,0.0,-0.06,0.6995,0.1118,16.0,4.0,4.0,1.0,20.0,4.0,0.0,1,0.0,1,1,1,1,1,1,1,0,0.7493
10012137,2018-07-03,08,0,0,0.8469387755102041,0.8877551020408163,15,5,2933.0,F02B37,3,14,0,3,12922,1825,11097,77758,13202,64556,0.65,0.5722,0.0,0.00284,0.4875,0.9825,-0.0205,13.0,7.0,2.0,3.0,-15.0,0.5,0.0,0,0.2,0,0,0,0,1,1,1,0,0.719
10012138,2018-07-03,09,0,0,0.5599999999999999,0.5599999999999999,5,2,1575.0,F02D23,7,14,0,3,11081,388,10693,78511,2549,75962,0.69,0.53,0.0024,0.0036,0.0375,0.9227,0.0264,6.0,14.0,3.0,2.0,-1.0,1.5,0.0,1,0.6,1,1,1,0,1,1,1,0,0.6548
10012152,2018-07-03,11,1,0,0.5,0.5,2,6,7882.0,F02D15,5,10,0,3,1089,22,1067,975,31,944,0.6917,0.525,0.003681,0.001875,-0.455,0.8916,0.0648,4.0,16.0,1.0,4.0,5.0,0.5,0.0,1,0.8,1,1,1,1,1,1,1,0,0.7474
10012153,2018-07-03,"08,09",1,0,0.659279778393352,0.8476454293628809,19,4,5565.0,F02D41,5,17,0,8,43513,564,42949,542516,8148,534368,0.7833,0.5,0.001111,0.0,-0.56,0.6995,0.1495,16.0,4.0,4.0,1.0,20.0,2.0,0.0,1,0.2,1,1,1,1,1,1,1,0,0.7929
10012157,2018-07-03,09,0,0,0.0,0.6666666666666667,3,3,6622.0,F02D41,5,20,0,2,601,30,571,1671,4,1667,0.7722,0.55,0.001728,0.0,-0.59,0.7314,0.1162,16.0,4.0,4.0,1.0,20.0,2.0,0.0,1,0.2,1,1,1,1,1,1,1,0,0.7167
10012159,2018-07-03,"08,09",16,1,0.6783999999999999,0.8128000000000001,25,19,1743.0,F02D41,6,20,0,3,12922,1824,11098,77758,13202,64556,0.7778,0.6,0.000617,0.0,-0.65,0.7219,0.1213,15.0,5.0,4.0,1.0,19.0,2.0,0.0,1,0.2,1,1,1,1,1,1,1,0,0.7064
