var,group,univariate_delta_mean,univariate_delta_std,univariate_n_seeds,perm_importance_mean,perm_importance_std,perm_n_seeds,fs_step1_AUROC_mean,fs_step1_AUROC_std,fs_step1_uplift,fs_first_winner_step,is_pre_selected_6,rk_univariate,rk_perm,rk_fs_step1,rk_fs_winner,borda_sum,borda_rank
var_conf_pro,C_individual,0.00818,0.015738826724589945,10,0.0037000000000000006,0.008709381914540971,10,0.73912,0.0175,0.00385,3,True,3.0,4.0,5.0,3.0,15.0,1
conf_gap_change,B_dynamic,0.00487,0.013981181797131616,10,0.0016800000000000003,0.0067157857155941015,10,0.73966,0.01874,0.00439,2,True,5.0,9.0,4.0,2.0,20.0,2
var_conf_anti,C_individual,0.009479999999999999,0.020298374319141915,10,0.00863,0.00928607679390076,10,0.7402,0.01918,0.00492,15,False,2.0,1.0,3.0,15.0,21.0,3
cross_domain_attack,A_interaction,-0.0013399999999999998,0.016891694211455918,10,0.0,0.0,10,0.74063,0.0193,0.00535,1,True,17.0,13.0,1.0,1.0,32.0,4
same_domain_support,A_interaction,0.00304,0.015484630372655907,10,0.00233,0.003313289738143782,10,0.73807,0.02014,0.0028,9,False,8.0,8.0,7.0,9.0,32.0,4
same_domain_attack,A_interaction,0.003060000000000001,0.015310214455280066,10,0.0,0.0,10,0.73819,0.02054,0.00291,6,False,7.0,13.0,6.0,6.0,32.0,4
mean_conf_anti,C_individual,0.00145,0.013854501875643969,10,0.00253,0.004708160763799148,10,0.73702,0.02172,0.00174,5,False,11.0,7.0,10.0,5.0,33.0,7
mean_conf_pro,C_individual,0.00356,0.019214820668778915,10,0.0075000000000000015,0.008509080117406607,10,0.73727,0.02247,0.002,19,False,6.0,2.0,9.0,19.0,36.0,8
cross_domain_support,A_interaction,-0.00143,0.016758152245002034,10,2.999999999999999e-05,0.0034296258299315,10,0.7403,0.01939,0.00502,8,False,18.0,12.0,2.0,8.0,40.0,9
acceptability_gap,D_consensus,0.0013000000000000002,0.01530911130304071,10,0.00299,0.005310252138813917,10,0.73624,0.0247,0.00097,11,False,12.0,5.0,13.0,11.0,41.0,10
fact_ratio_anti,D_consensus,0.00557,0.012420686150307655,10,5e-05,0.0001649915822768611,10,0.73539,0.02111,0.00011,13,False,4.0,11.0,18.0,13.0,46.0,11
final_pred_application,E_prediction,0.00998,0.013479927464361389,10,0.00412,0.003739815800573903,10,0.73518,0.0208,-9e-05,25,False,1.0,3.0,20.0,25.0,49.0,12
delta_H,B_dynamic,0.0004199999999999999,0.017078433443641395,10,0.00256,0.00924688536150897,10,0.73613,0.02232,0.00086,22,True,13.0,6.0,14.0,22.0,55.0,13
final_pred_user,E_prediction,-0.0004999999999999994,0.013563267387404196,10,-0.00033,0.0006912950809089336,10,0.73644,0.01909,0.00117,10,False,15.0,21.0,11.0,10.0,57.0,14
final_pred_technology,E_prediction,-0.00037000000000000065,0.012995131567030955,10,-0.00019,0.0002846049894151542,10,0.73408,0.02182,-0.00119,4,False,14.0,18.0,24.0,4.0,60.0,15
final_pred_businessmodel,E_prediction,0.00216,0.011074715948200808,10,-3.0000000000000004e-05,0.00013374935098492587,10,0.73596,0.02405,0.00068,18,False,10.0,17.0,17.0,18.0,62.0,16
total_rounds,F_meta,-0.00371,0.013284531522706314,10,8.999999999999999e-05,0.0006136412270663987,10,0.73597,0.02263,0.0007,14,False,23.0,10.0,16.0,14.0,63.0,17
term_extended_debate,F_meta,-0.00296,0.012734834117490499,10,0.0,0.0,10,0.73539,0.02027,0.00012,16,False,20.0,13.0,18.0,16.0,67.0,18
final_prediction,E_prediction,-0.00253,0.00891154681672417,10,-0.00021999999999999998,0.0004917090377222873,10,0.73463,0.02176,-0.00065,7,False,19.0,19.0,23.0,7.0,68.0,19
H_final,C_individual,-0.0009499999999999997,0.018323042566366778,10,-0.0005800000000000001,0.005355329640232762,10,0.73728,0.02468,0.002,24,True,16.0,22.0,8.0,24.0,70.0,20
prediction_volatility,B_dynamic,0.0022899999999999995,0.013803095466033859,10,-0.0009000000000000001,0.0027543904346818133,10,0.73389,0.02387,-0.00139,17,False,9.0,23.0,25.0,17.0,74.0,21
term_unanimous,F_meta,-0.00296,0.012734834117490499,10,0.0,0.0,10,0.73477,0.01944,-0.00051,20,False,20.0,13.0,22.0,20.0,75.0,22
final_pred_ecosystem,E_prediction,-0.00463,0.007017604846226224,10,-0.00022,0.0007728734264634367,10,0.73634,0.02199,0.00106,21,False,24.0,20.0,12.0,21.0,77.0,23
fact_ratio_pro,D_consensus,-0.0032299999999999994,0.015299604206935841,10,-0.00537,0.007859325670819348,10,0.73503,0.02129,-0.00025,12,False,22.0,24.0,21.0,12.0,79.0,24
semantic_coherence,D_consensus,-0.007519999999999999,0.01690567294661108,10,-0.006220000000000001,0.007950234098579879,10,0.7361,0.01881,0.00082,23,True,25.0,25.0,15.0,23.0,88.0,25
