T_pct,target_metric,covariate,spearman_rho,p_value,n_fields
5,AUROC,n,0.429,0.2894,8
5,AUROC,Y_rate_T5,-0.5,0.207,8
5,AUROC,Y_rate_T10,-0.595,0.1195,8
5,AUROC,Y_rate_T15,-0.595,0.1195,8
5,AUROC,Y_rate_T20,-0.524,0.1827,8
5,AUROC,PK_mean,-0.905,0.002,8
5,AUROC,SK_mean,-0.857,0.0065,8
5,AUROC,TCT_mean,0.19,0.6514,8
5,AUROC,CKH_mean,0.286,0.4927,8
5,AUROC,asg_HHI,0.024,0.9554,8
5,AUROC,top5_share,0.119,0.7789,8
5,AUROC,zX,0.024,0.9554,8
5,AUROC,zY,-0.286,0.4927,8
5,AUROC,ipc_subclass_entropy,0.31,0.4556,8
5,AUROC,ipc_subclass_distinct,0.431,0.2862,8
5,AUROC,ipc_subclass_top1_share,-0.286,0.4927,8
5,AUROC,ipc_tags_per_patent_mean,0.143,0.7358,8
5,AUROC,ipc_maingroup_entropy,0.286,0.4927,8
5,AUROC,ipc_maingroup_distinct,0.476,0.2329,8
5,AUROC,H_final_mean,0.333,0.4198,8
5,AUROC,delta_H_mean,-0.048,0.9108,8
5,AUROC,semantic_coherence_mean,-0.048,0.9108,8
5,AUROC,BL_AUROC,0.0,1.0,8
10,AUROC,n,-0.024,0.9554,8
10,AUROC,Y_rate_T5,-0.095,0.8225,8
10,AUROC,Y_rate_T10,-0.262,0.5309,8
10,AUROC,Y_rate_T15,-0.262,0.5309,8
10,AUROC,Y_rate_T20,-0.286,0.4927,8
10,AUROC,PK_mean,-0.452,0.2604,8
10,AUROC,SK_mean,-0.214,0.6103,8
10,AUROC,TCT_mean,-0.19,0.6514,8
10,AUROC,CKH_mean,0.262,0.5309,8
10,AUROC,asg_HHI,0.548,0.16,8
10,AUROC,top5_share,0.452,0.2604,8
10,AUROC,zX,0.548,0.16,8
10,AUROC,zY,0.452,0.2604,8
10,AUROC,ipc_subclass_entropy,-0.262,0.5309,8
10,AUROC,ipc_subclass_distinct,-0.144,0.7342,8
10,AUROC,ipc_subclass_top1_share,0.333,0.4198,8
10,AUROC,ipc_tags_per_patent_mean,0.0,1.0,8
10,AUROC,ipc_maingroup_entropy,-0.357,0.3851,8
10,AUROC,ipc_maingroup_distinct,-0.071,0.8665,8
10,AUROC,H_final_mean,0.262,0.5309,8
10,AUROC,delta_H_mean,-0.024,0.9554,8
10,AUROC,semantic_coherence_mean,0.31,0.4556,8
10,AUROC,BL_AUROC,0.381,0.3518,8
15,AUROC,n,0.048,0.9108,8
15,AUROC,Y_rate_T5,0.071,0.8665,8
15,AUROC,Y_rate_T10,0.024,0.9554,8
15,AUROC,Y_rate_T15,0.024,0.9554,8
