T_pct,field,model,delta_mean,delta_std,wins,n_seeds,t_stat,p_paired,p_bh,sig_bh_05,sig_bh_10
5,01,RF,0.0052,0.0192,14,20,1.203,0.2437,0.4299,0,0
5,01,GBT,0.0114,0.0172,14,20,2.98,0.0077,0.0395,1,1
5,01,XGB,0.0372,0.0267,18,20,6.23,0.0,0.0001,1,1
5,01,LogReg,-0.0004,0.0252,10,20,-0.07,0.945,0.945,0,0
5,01,SVM,0.0077,0.0313,13,20,1.1,0.2849,0.4559,0,0
5,01,FFN,-0.027,0.0473,7,20,-2.554,0.0194,0.0717,0,1
5,03,RF,0.0105,0.0713,8,20,0.659,0.5179,0.6906,0,0
5,03,GBT,0.0196,0.1626,9,20,0.538,0.5967,0.774,0,0
5,03,XGB,-0.0268,0.0879,6,20,-1.364,0.1884,0.3732,0,0
5,03,LogReg,-0.0181,0.0581,6,20,-1.394,0.1795,0.3732,0,0
5,03,SVM,0.0159,0.1951,9,20,0.366,0.7188,0.8625,0,0
5,03,FFN,-0.0123,0.193,6,20,-0.285,0.7784,0.8896,0,0
5,07,RF,-0.0259,0.1036,9,20,-1.116,0.2783,0.4559,0,0
5,07,GBT,0.0219,0.1405,11,20,0.696,0.4947,0.6785,0,0
5,07,XGB,-0.0523,0.0952,5,20,-2.455,0.0239,0.0819,0,1
5,07,LogReg,-0.0131,0.0496,8,20,-1.185,0.2508,0.4299,0,0
5,07,SVM,-0.0429,0.1426,10,20,-1.345,0.1944,0.3732,0,0
5,07,FFN,0.0028,0.1406,10,20,0.089,0.9299,0.945,0,0
5,08,RF,0.0019,0.0454,10,20,0.184,0.8559,0.9037,0,0
5,08,GBT,-0.0033,0.0467,8,20,-0.315,0.7565,0.8856,0,0
5,08,XGB,0.0379,0.0513,15,20,3.303,0.0037,0.0257,1,1
5,08,LogReg,-0.0172,0.0228,6,20,-3.382,0.0031,0.0257,1,1
5,08,SVM,-0.004,0.0468,10,20,-0.381,0.7078,0.8625,0,0
5,08,FFN,-0.0033,0.0871,9,20,-0.171,0.866,0.9037,0,0
5,09,RF,-0.0225,0.0318,4,20,-3.157,0.0052,0.0312,1,1
5,09,GBT,-0.0187,0.0487,7,20,-1.714,0.1027,0.2595,0,0
5,09,XGB,-0.0208,0.0388,6,20,-2.393,0.0272,0.0846,0,1
5,09,LogReg,0.0113,0.0514,16,20,0.98,0.3394,0.5091,0,0
5,09,SVM,0.0317,0.0514,16,20,2.758,0.0125,0.0546,0,1
5,09,FFN,0.0162,0.0581,10,20,1.248,0.2274,0.4197,0,0
5,12,RF,-0.0395,0.0519,3,20,-3.407,0.003,0.0257,1,1
5,12,GBT,-0.0086,0.0472,9,20,-0.818,0.4237,0.5981,0,0
5,12,XGB,-0.02,0.0624,10,20,-1.433,0.168,0.3732,0,0
