T_pct,field,model,delta_mean,delta_std,wins,n_seeds,t_stat,p_paired,p_bh,sig_bh_05,sig_bh_10
5,01,RF,-1.1173,2.6687,4,20,-1.872,0.0766,,0,0
5,01,GBT,-0.6431,2.4511,6,20,-1.173,0.2552,,0,0
5,01,XGB,1.1659,2.0001,13,20,2.607,0.0173,,0,0
5,01,LogReg,0.1961,2.2895,8,20,0.383,0.7059,,0,0
5,01,SVM,-0.6709,2.3639,6,20,-1.269,0.2197,,0,0
5,01,FFN,-1.3663,2.2679,3,20,-2.694,0.0144,,0,0
5,03,RF,-0.7771,2.392,0,20,-1.453,0.1625,,0,0
5,03,GBT,3.4667,17.9584,4,20,0.863,0.3987,,0,0
5,03,XGB,-6.1562,21.8823,3,20,-1.258,0.2236,,0,0
5,03,LogReg,-7.7105,21.2082,0,20,-1.626,0.1204,,0,0
5,03,SVM,0.3886,1.7377,1,20,1.0,0.3299,,0,0
5,03,FFN,-7.7105,23.9987,2,20,-1.437,0.167,,0,0
5,07,RF,0.9295,2.1684,5,20,1.917,0.0704,,0,0
5,07,GBT,-0.5177,5.1898,5,20,-0.446,0.6606,,0,0
5,07,XGB,4.578,6.2898,11,20,3.255,0.0042,,0,0
5,07,LogReg,0.0,1.7683,1,20,0.0,1.0,,0,0
5,07,SVM,-0.545,1.6775,0,20,-1.453,0.1625,,0,0
5,07,FFN,0.545,3.4921,5,20,0.698,0.4936,,0,0
5,08,RF,0.5662,3.3571,6,20,0.754,0.46,,0,0
5,08,GBT,-1.317,3.6703,1,20,-1.605,0.125,,0,0
5,08,XGB,1.2542,4.4414,5,20,1.263,0.2219,,0,0
5,08,LogReg,-1.3897,4.2775,0,20,-1.453,0.1625,,0,0
5,08,SVM,-1.8904,4.9902,1,20,-1.694,0.1066,,0,0
5,08,FFN,1.3948,9.8663,6,20,0.632,0.5348,,0,0
5,09,RF,0.222,2.4896,9,20,0.399,0.6945,,0,0
5,09,GBT,-0.2484,1.9787,6,20,-0.561,0.581,,0,0
5,09,XGB,1.0771,3.1753,10,20,1.517,0.1457,,0,0
5,09,LogReg,-0.9429,3.3556,4,20,-1.257,0.2241,,0,0
5,09,SVM,1.4022,2.1026,14,20,2.983,0.0077,,0,0
5,09,FFN,0.2261,3.033,9,20,0.333,0.7425,,0,0
5,12,RF,0.0,0.0,0,20,,,,0,0
5,12,GBT,1.1666,6.2319,1,20,0.837,0.4129,,0,0
