field,T_pct,config,model,n_seeds,Y_rate_pct,n_test,AUROC_mean,AUPRC_mean,Precision_mean,Recall_mean,F1_mean,Accuracy_mean,DOR_mean,AUROC_std,AUPRC_std,Precision_std,Recall_std,F1_std,Accuracy_std,DOR_std
01,5,+6focal,FFN,20,7.65,560,0.6622,0.1392,0.1536,0.1,0.1211,0.8886,2.6116,0.0227,0.0205,0.0569,0.037,0.0449,0.0057,1.1884
01,5,+6focal,GBT,20,7.65,560,0.7566,0.2222,0.2607,0.1698,0.2056,0.8993,5.2753,0.0254,0.0349,0.0636,0.0414,0.0501,0.0064,1.9537
01,5,+6focal,LogReg,20,7.65,560,0.7595,0.2174,0.2607,0.1698,0.2056,0.8993,5.4026,0.0348,0.0472,0.0836,0.0545,0.066,0.0084,2.2831
01,5,+6focal,RF,20,7.65,560,0.7732,0.2608,0.3128,0.2058,0.2483,0.9044,7.1879,0.0294,0.047,0.0789,0.0535,0.0637,0.0079,2.967
01,5,+6focal,SVM,20,7.65,560,0.6759,0.1773,0.2,0.1302,0.1577,0.8932,3.6273,0.0275,0.0404,0.0572,0.0373,0.0451,0.0057,1.5171
01,5,+6focal,XGB,20,7.65,560,0.7391,0.2235,0.275,0.1791,0.2169,0.9007,5.8007,0.0341,0.0389,0.0761,0.0495,0.06,0.0076,2.315
01,5,BIBLIO,FFN,20,7.65,560,0.6893,0.1682,0.2143,0.1395,0.169,0.8946,3.9779,0.0405,0.0255,0.0613,0.0399,0.0484,0.0061,1.477
01,5,BIBLIO,GBT,20,7.65,560,0.7451,0.2168,0.2839,0.1849,0.2239,0.9016,5.9184,0.0226,0.0289,0.0511,0.0333,0.0403,0.0051,1.7347
01,5,BIBLIO,LogReg,20,7.65,560,0.7599,0.2162,0.25,0.1628,0.1972,0.8982,5.2065,0.0294,0.0448,0.0927,0.0604,0.0731,0.0093,2.8181
01,5,BIBLIO,RF,20,7.65,560,0.768,0.262,0.345,0.2267,0.2736,0.9075,8.3052,0.0287,0.0331,0.0643,0.0412,0.0502,0.0067,2.6554
01,5,BIBLIO,SVM,20,7.65,560,0.6682,0.1817,0.2232,0.1453,0.1761,0.8955,4.2982,0.031,0.0406,0.0732,0.0476,0.0577,0.0073,2.0696
01,5,BIBLIO,XGB,20,7.65,560,0.7019,0.189,0.2375,0.1547,0.1873,0.897,4.6348,0.0314,0.0307,0.0658,0.0429,0.0519,0.0066,1.9775
01,10,+6focal,FFN,20,16.06,560,0.6754,0.2779,0.3134,0.195,0.2404,0.802,2.9567,0.0374,0.038,0.0828,0.0515,0.0636,0.0166,1.3453
01,10,+6focal,GBT,20,16.06,560,0.7275,0.3286,0.3688,0.2294,0.2829,0.813,3.8234,0.0211,0.0332,0.06,0.0373,0.046,0.012,1.2146
01,10,+6focal,LogReg,20,16.06,560,0.7381,0.3184,0.3589,0.2233,0.2753,0.8111,3.5741,0.0146,0.0239,0.0474,0.0295,0.0364,0.0095,0.8286
01,10,+6focal,RF,20,16.06,560,0.7534,0.3755,0.422,0.2667,0.3268,0.8235,5.0132,0.0213,0.0373,0.0545,0.0355,0.0429,0.011,1.59
01,10,+6focal,SVM,20,16.06,560,0.6693,0.2698,0.3161,0.1967,0.2425,0.8025,2.8571,0.0226,0.0207,0.0492,0.0306,0.0377,0.0098,0.7509
01,10,+6focal,XGB,20,16.06,560,0.7256,0.3388,0.3839,0.2389,0.2945,0.8161,4.0699,0.0293,0.0383,0.0486,0.0303,0.0373,0.0097,0.9591
01,10,BIBLIO,FFN,20,16.06,560,0.6944,0.2822,0.3125,0.1944,0.2397,0.8018,2.8011,0.0193,0.0228,0.048,0.0298,0.0368,0.0096,0.7491
01,10,BIBLIO,GBT,20,16.06,560,0.7266,0.3391,0.3821,0.2378,0.2932,0.8157,4.0647,0.0239,0.0357,0.0545,0.0339,0.0418,0.0109,1.1407
01,10,BIBLIO,LogReg,20,16.06,560,0.7314,0.3105,0.3446,0.2144,0.2644,0.8082,3.3068,0.0148,0.0187,0.0422,0.0263,0.0324,0.0084,0.7554
01,10,BIBLIO,RF,20,16.06,560,0.7422,0.384,0.4256,0.2689,0.3295,0.8241,5.0301,0.022,0.0376,0.0451,0.0274,0.0339,0.0092,1.1523
01,10,BIBLIO,SVM,20,16.06,560,0.6704,0.2818,0.3312,0.2061,0.2541,0.8055,3.116,0.0228,0.0215,0.0548,0.0341,0.042,0.011,0.8658
01,10,BIBLIO,XGB,20,16.06,560,0.6873,0.3225,0.3777,0.235,0.2897,0.8148,3.994,0.0249,0.0366,0.0606,0.0377,0.0465,0.0121,1.1732
01,15,+6focal,FFN,20,19.6,560,0.6726,0.3251,0.3577,0.2732,0.3098,0.7609,2.8323,0.025,0.0267,0.0443,0.0338,0.0384,0.0133,0.6618
01,15,+6focal,GBT,20,19.6,560,0.744,0.394,0.4411,0.3368,0.382,0.7859,4.507,0.0191,0.0372,0.0489,0.0374,0.0424,0.0147,1.3675
