T_pct,model,feature,n_seeds,imp_mean,imp_std,imp_within_std
5,FFN,CKH,20,0.03492,0.0211,0.01578
5,FFN,COL,20,0.00334,0.01059,0.00685
5,FFN,CTO,20,0.00638,0.01325,0.01123
5,FFN,CTS,20,0.01258,0.0225,0.01353
5,FFN,H_final,20,0.05573,0.02092,0.01798
5,FFN,INV,20,0.00655,0.01368,0.0071
5,FFN,MF_B60K6,20,0.00016,0.00316,0.00404
5,FFN,MF_F01L1,12,0.00354,0.00357,0.00376
5,FFN,MF_F01N3,20,5e-05,0.00396,0.00434
5,FFN,MF_F02B33,20,0.00845,0.01121,0.00898
5,FFN,MF_F02B37,20,0.01295,0.00712,0.00942
5,FFN,MF_F02B75,1,0.00036,,0.00268
5,FFN,MF_F02D23,20,0.00415,0.00643,0.00745
5,FFN,MF_F02D41,20,0.01546,0.01269,0.01013
5,FFN,MF_F02M21,6,0.00256,0.00255,0.00228
5,FFN,MF_F02M25,20,0.00522,0.00655,0.00551
5,FFN,MF_F02M37,20,0.00719,0.00593,0.0041
5,FFN,MF_F02N11,20,0.00543,0.00867,0.0036
5,FFN,MF_F02P5,1,0.00234,,0.00102
5,FFN,MF_other,20,0.03392,0.0223,0.01519
5,FFN,NC,20,-0.00107,0.00722,0.00603
5,FFN,PK,20,0.00227,0.00767,0.00381
5,FFN,PKH,20,0.00166,0.00709,0.00613
5,FFN,PTS,20,0.00432,0.00738,0.00549
5,FFN,SK,20,0.01784,0.01066,0.0055
5,FFN,STO,20,0.04413,0.02645,0.01739
5,FFN,TCT,20,0.07886,0.02016,0.01856
5,FFN,TKH,20,0.00194,0.00744,0.0063
5,FFN,TS,20,0.02079,0.01177,0.01093
5,FFN,TTS,20,0.00474,0.00796,0.00566
5,FFN,conf_gap_change,20,0.00144,0.01724,0.01048
5,FFN,cross_domain_attack,20,0.00065,0.01476,0.01005
5,FFN,delta_H,20,0.01005,0.01829,0.01233
5,FFN,semantic_coherence,20,-0.00414,0.0103,0.00865
5,FFN,var_conf_pro,20,0.00087,0.0099,0.00805
5,GBT,CKH,20,0.04787,0.02678,0.01056
5,GBT,COL,20,-2e-05,0.00041,0.00074
5,GBT,CTO,20,-0.00073,0.00417,0.00443
5,GBT,CTS,20,0.03479,0.01465,0.009
5,GBT,H_final,20,0.03124,0.01641,0.01017
5,GBT,INV,20,0.00335,0.0047,0.00314
5,GBT,MF_B60K6,20,-0.00015,0.00045,0.00029
5,GBT,MF_F01L1,12,-3e-05,0.00014,0.00016
5,GBT,MF_F01N3,20,-6e-05,0.00026,0.00033
5,GBT,MF_F02B33,20,0.00064,0.00225,0.00095
5,GBT,MF_F02B37,20,0.00609,0.00218,0.00305
5,GBT,MF_F02B75,1,0.0,,0.0
5,GBT,MF_F02D23,20,0.00062,0.00141,0.00071
5,GBT,MF_F02D41,20,0.00081,0.00174,0.00187
5,GBT,MF_F02M21,6,0.00038,0.00112,0.00052
5,GBT,MF_F02M25,20,0.00046,0.00141,0.00138
5,GBT,MF_F02M37,20,0.0013,0.00181,0.00141
5,GBT,MF_F02N11,20,0.00013,0.00085,0.00087
5,GBT,MF_F02P5,1,0.00015,,0.0001
5,GBT,MF_other,20,-0.00017,0.00063,0.00036
5,GBT,NC,20,-0.00167,0.00422,0.00365
5,GBT,PK,20,0.0372,0.00777,0.01189
5,GBT,PKH,20,0.03706,0.02462,0.00946
5,GBT,PTS,20,0.01682,0.00944,0.00687
5,GBT,SK,20,0.02025,0.01048,0.00393
5,GBT,STO,20,0.00646,0.00836,0.00543
5,GBT,TCT,20,0.05172,0.00917,0.01266
5,GBT,TKH,20,0.06153,0.03963,0.011
5,GBT,TS,20,0.02284,0.00756,0.00889
5,GBT,TTS,20,0.02489,0.01666,0.00548
5,GBT,conf_gap_change,20,0.01225,0.00762,0.00751
5,GBT,cross_domain_attack,20,0.00906,0.00446,0.00504
5,GBT,delta_H,20,0.01405,0.00781,0.00848
5,GBT,semantic_coherence,20,0.0036,0.00632,0.00543
5,GBT,var_conf_pro,20,-0.00089,0.00235,0.00322
5,LogReg,CKH,20,0.00357,0.00442,0.00489
5,LogReg,COL,20,0.00041,0.00188,0.00233
5,LogReg,CTO,20,6e-05,0.00153,0.00139
5,LogReg,CTS,20,-0.00038,0.0013,0.00088
