T_pct,model,config,delta_mean,delta_std,wins,n
5,RF,+6focal,0.0074,0.0141,15,20
5,RF,+25,0.0052,0.0167,12,20
5,GBT,+6focal,0.0079,0.0139,13,20
5,GBT,+25,0.0094,0.0149,15,20
5,XGB,+6focal,0.0321,0.0211,19,20
5,XGB,+25,0.034,0.0222,18,20
5,LogReg,+6focal,0.0069,0.0102,17,20
5,LogReg,+25,-0.0005,0.0115,9,20
5,SVM,+6focal,0.0269,0.0382,16,20
5,SVM,+25,0.0269,0.0411,15,20
5,FFN,+6focal,-0.0208,0.0442,8,20
5,FFN,+25,-0.0523,0.0438,2,20
10,RF,+6focal,0.0021,0.0072,12,20
10,RF,+25,-0.0081,0.0088,3,20
10,GBT,+6focal,0.0022,0.0113,9,20
10,GBT,+25,-0.0008,0.0118,8,20
10,XGB,+6focal,0.0135,0.0139,17,20
10,XGB,+25,0.0038,0.0102,14,20
10,LogReg,+6focal,0.0034,0.0065,13,20
10,LogReg,+25,-0.002,0.0082,8,20
10,SVM,+6focal,0.0107,0.018,16,20
10,SVM,+25,0.0087,0.0238,13,20
10,FFN,+6focal,-0.0159,0.0199,4,20
10,FFN,+25,-0.0525,0.0234,0,20
15,RF,+6focal,0.0025,0.0108,11,20
15,RF,+25,-0.0044,0.0115,9,20
15,GBT,+6focal,-0.0005,0.0086,9,20
15,GBT,+25,0.0011,0.0088,13,20
15,XGB,+6focal,0.0151,0.0125,17,20
15,XGB,+25,0.0133,0.0132,16,20
15,LogReg,+6focal,0.0067,0.0053,17,20
15,LogReg,+25,0.0028,0.0054,15,20
15,SVM,+6focal,0.0188,0.015,17,20
15,SVM,+25,0.0099,0.0166,15,20
15,FFN,+6focal,-0.0185,0.0226,3,20
15,FFN,+25,-0.064,0.0191,0,20
20,RF,+6focal,0.0026,0.0085,13,20
20,RF,+25,-0.0042,0.01,7,20
20,GBT,+6focal,0.0031,0.0076,12,20
20,GBT,+25,0.0037,0.0059,15,20
20,XGB,+6focal,0.0115,0.0079,18,20
20,XGB,+25,0.0085,0.0097,15,20
20,LogReg,+6focal,0.0071,0.0055,17,20
20,LogReg,+25,0.0044,0.006,15,20
20,SVM,+6focal,0.0166,0.0141,17,20
20,SVM,+25,0.0017,0.0156,11,20
20,FFN,+6focal,-0.0098,0.015,6,20
20,FFN,+25,-0.0596,0.0221,0,20
