T_pct,model,config,dor_delta_mean,dor_delta_std,wins,n
5,RF,+6focal,-0.03,2.283,8,20
5,RF,+25,-0.661,2.484,8,20
5,GBT,+6focal,-0.257,1.859,10,20
5,GBT,+25,-0.129,2.136,7,20
5,XGB,+6focal,0.623,1.944,11,20
5,XGB,+25,0.363,2.186,9,20
5,LogReg,+6focal,0.891,1.492,12,20
5,LogReg,+25,0.371,1.213,10,20
5,SVM,+6focal,0.363,1.341,10,20
5,SVM,+25,-0.736,1.23,5,20
5,FFN,+6focal,-0.828,2.079,5,20
5,FFN,+25,-1.284,1.683,3,20
10,RF,+6focal,-0.168,0.506,7,20
10,RF,+25,-0.306,0.618,7,20
10,GBT,+6focal,0.322,0.974,14,20
10,GBT,+25,0.162,1.048,9,20
10,XGB,+6focal,-0.428,0.798,6,20
10,XGB,+25,-0.639,0.607,3,20
10,LogReg,+6focal,-0.018,0.587,11,20
10,LogReg,+25,-0.186,0.623,8,20
10,SVM,+6focal,-0.206,0.56,8,20
10,SVM,+25,-0.282,0.675,4,20
10,FFN,+6focal,-0.39,1.087,4,20
10,FFN,+25,-1.421,0.875,1,20
15,RF,+6focal,0.387,0.79,13,20
15,RF,+25,-0.015,0.667,10,20
15,GBT,+6focal,-0.277,0.66,4,20
15,GBT,+25,-0.138,0.589,8,20
15,XGB,+6focal,0.423,0.724,14,20
15,XGB,+25,0.156,0.624,8,20
15,LogReg,+6focal,0.398,0.627,14,20
15,LogReg,+25,0.113,0.643,9,20
15,SVM,+6focal,0.216,0.491,13,20
15,SVM,+25,-0.273,0.455,6,20
15,FFN,+6focal,-0.319,0.888,7,20
15,FFN,+25,-1.48,0.684,0,20
20,RF,+6focal,0.214,0.457,14,20
20,RF,+25,-0.046,0.475,8,20
20,GBT,+6focal,0.098,0.368,14,20
20,GBT,+25,-0.053,0.42,8,20
20,XGB,+6focal,0.274,0.495,13,20
20,XGB,+25,0.137,0.538,11,20
20,LogReg,+6focal,0.332,0.514,13,20
20,LogReg,+25,0.215,0.49,13,20
20,SVM,+6focal,0.313,0.338,15,20
20,SVM,+25,-0.235,0.345,5,20
20,FFN,+6focal,-0.309,0.65,7,20
20,FFN,+25,-1.521,0.565,0,20
