T_pct,config,model,Y_rate_pct,n_seeds,AUROC_mean,AUPRC_mean,Precision_mean,Recall_mean,F1_mean,Accuracy_mean,DOR_mean,AUROC_std,AUPRC_std,Precision_std,Recall_std,F1_std,Accuracy_std,DOR_std
5,+25,FFN,5.84,20,0.6729,0.1293,0.1824,0.156,0.1682,0.9097,4.2419,0.0357,0.0236,0.0364,0.0311,0.0336,0.0036,1.14
5,+25,GBT,5.84,20,0.7679,0.2284,0.2768,0.2367,0.2552,0.9191,8.0621,0.0251,0.0362,0.0491,0.042,0.0452,0.0049,2.3539
5,+25,LogReg,5.84,20,0.7457,0.1865,0.2479,0.212,0.2286,0.9162,6.7045,0.0205,0.0304,0.0449,0.0384,0.0414,0.0045,1.824
5,+25,RF,5.84,20,0.766,0.2673,0.2899,0.2524,0.2698,0.92,8.7629,0.0255,0.0432,0.0481,0.0405,0.044,0.0051,2.6042
5,+25,SVM,5.84,20,0.6787,0.1408,0.1676,0.1434,0.1545,0.9082,3.7984,0.0275,0.0218,0.0395,0.0338,0.0365,0.004,1.1469
5,+25,XGB,5.84,20,0.7434,0.2237,0.2627,0.2247,0.2422,0.9177,7.3618,0.0203,0.041,0.0448,0.0384,0.0413,0.0045,2.039
5,+6focal,FFN,5.84,20,0.7043,0.164,0.1958,0.1675,0.1805,0.911,4.6976,0.0406,0.035,0.0403,0.0345,0.0372,0.004,1.3024
5,+6focal,GBT,5.84,20,0.7664,0.2346,0.2761,0.2361,0.2545,0.919,7.9343,0.0268,0.0309,0.0378,0.0323,0.0348,0.0038,1.9058
5,+6focal,LogReg,5.84,20,0.7531,0.1961,0.2599,0.2223,0.2396,0.9174,7.2244,0.0194,0.0326,0.0447,0.0382,0.0412,0.0045,1.8912
5,+6focal,RF,5.84,20,0.7682,0.2747,0.3015,0.2639,0.2814,0.9211,9.3938,0.0278,0.0437,0.0479,0.0415,0.0444,0.0049,2.6152
5,+6focal,SVM,5.84,20,0.6788,0.1607,0.2007,0.1717,0.1851,0.9115,4.8975,0.0234,0.0299,0.0447,0.0383,0.0413,0.0045,1.5645
5,+6focal,XGB,5.84,20,0.7416,0.2288,0.2683,0.2295,0.2474,0.9183,7.6218,0.0166,0.0306,0.0458,0.0392,0.0422,0.0046,2.0327
5,BIBLIO,FFN,5.84,20,0.7251,0.1763,0.2183,0.1867,0.2013,0.9133,5.526,0.0258,0.0332,0.0447,0.0382,0.0412,0.0045,1.6236
5,BIBLIO,GBT,5.84,20,0.7585,0.2297,0.2803,0.2398,0.2584,0.9195,8.1914,0.0255,0.0341,0.045,0.0385,0.0415,0.0045,2.1412
5,BIBLIO,LogReg,5.84,20,0.7462,0.1866,0.2401,0.2054,0.2214,0.9154,6.3338,0.0191,0.0304,0.0375,0.0321,0.0346,0.0038,1.5106
5,BIBLIO,RF,5.84,20,0.7608,0.2671,0.301,0.2608,0.2795,0.9213,9.424,0.0276,0.043,0.0538,0.0465,0.0498,0.0055,3.1085
5,BIBLIO,SVM,5.84,20,0.6518,0.1495,0.1894,0.162,0.1747,0.9104,4.5341,0.038,0.0343,0.048,0.0411,0.0443,0.0048,1.5716
5,BIBLIO,XGB,5.84,20,0.7094,0.2092,0.2549,0.2181,0.2351,0.9169,6.9992,0.0294,0.0395,0.0426,0.0364,0.0393,0.0043,1.8918
10,+25,FFN,12.49,20,0.6584,0.2126,0.2532,0.2031,0.2254,0.8257,2.7698,0.0217,0.0186,0.0266,0.0213,0.0237,0.0053,0.4627
10,+25,GBT,12.49,20,0.7424,0.3121,0.3479,0.2791,0.3097,0.8447,4.9014,0.0173,0.0253,0.0389,0.0312,0.0347,0.0078,1.0756
10,+25,LogReg,12.49,20,0.7301,0.2745,0.3165,0.254,0.2818,0.8384,4.0491,0.0167,0.0188,0.0227,0.0182,0.0202,0.0045,0.5279
10,+25,RF,12.49,20,0.7426,0.329,0.3621,0.2963,0.3259,0.847,5.3237,0.017,0.0274,0.0355,0.029,0.0319,0.0073,1.0359
10,+25,SVM,12.49,20,0.6569,0.2073,0.2423,0.1944,0.2157,0.8236,2.5908,0.0173,0.0151,0.0307,0.0246,0.0273,0.0061,0.5145
10,+25,XGB,12.49,20,0.7168,0.2888,0.3264,0.2619,0.2906,0.8404,4.287,0.0158,0.0236,0.0233,0.0187,0.0208,0.0047,0.5764
10,+6focal,FFN,12.49,20,0.6951,0.2577,0.3039,0.2438,0.2705,0.8359,3.8006,0.0209,0.0179,0.0376,0.0301,0.0334,0.0075,0.7747
10,+6focal,GBT,12.49,20,0.7454,0.3133,0.3546,0.2845,0.3157,0.8461,5.0616,0.0189,0.0248,0.0338,0.0271,0.0301,0.0068,0.9219
10,+6focal,LogReg,12.49,20,0.7355,0.2794,0.3232,0.2593,0.2878,0.8398,4.2168,0.0167,0.0183,0.026,0.0209,0.0232,0.0052,0.6271
10,+6focal,RF,12.49,20,0.7528,0.3434,0.3675,0.2994,0.33,0.8482,5.4611,0.0172,0.0285,0.033,0.0261,0.0291,0.0068,0.938
10,+6focal,SVM,12.49,20,0.6589,0.2197,0.2479,0.1989,0.2207,0.8247,2.6668,0.0152,0.0183,0.0196,0.0157,0.0175,0.0039,0.3372
10,+6focal,XGB,12.49,20,0.7266,0.298,0.3349,0.2686,0.2981,0.8421,4.4984,0.0186,0.0196,0.0234,0.0187,0.0208,0.0047,0.6068
10,BIBLIO,FFN,12.49,20,0.711,0.2718,0.3218,0.2582,0.2865,0.8395,4.1909,0.0227,0.023,0.029,0.0233,0.0258,0.0058,0.6834
10,BIBLIO,GBT,12.49,20,0.7431,0.315,0.344,0.276,0.3063,0.8439,4.7396,0.0159,0.0235,0.0241,0.0193,0.0215,0.0048,0.6643
10,BIBLIO,LogReg,12.49,20,0.7321,0.2772,0.3229,0.259,0.2875,0.8397,4.2348,0.0189,0.0241,0.0348,0.0279,0.031,0.007,0.8078
10,BIBLIO,RF,12.49,20,0.7507,0.3496,0.3743,0.3025,0.3346,0.8498,5.6292,0.0177,0.0272,0.0268,0.0209,0.0235,0.0055,0.7837
10,BIBLIO,SVM,12.49,20,0.6482,0.2228,0.2585,0.2073,0.2301,0.8268,2.8724,0.0227,0.0231,0.0305,0.0245,0.0271,0.0061,0.5505
10,BIBLIO,XGB,12.49,20,0.713,0.3056,0.3504,0.2811,0.3119,0.8452,4.9262,0.0155,0.0309,0.029,0.0232,0.0258,0.0058,0.7957
15,+25,FFN,15.83,20,0.6597,0.2619,0.2974,0.2816,0.2893,0.7805,2.7569,0.0202,0.0195,0.0216,0.0205,0.021,0.0065,0.3728
15,+25,GBT,15.83,20,0.746,0.3638,0.3845,0.364,0.374,0.8066,4.6905,0.0163,0.0279,0.028,0.0265,0.0273,0.0084,0.7924
15,+25,LogReg,15.83,20,0.7319,0.3416,0.3707,0.3509,0.3605,0.8025,4.3271,0.0147,0.0263,0.0293,0.0277,0.0285,0.0088,0.775
15,+25,RF,15.83,20,0.748,0.3829,0.3958,0.3809,0.3882,0.8095,5.0645,0.0174,0.0306,0.0305,0.0292,0.0297,0.0093,0.9316
15,+25,SVM,15.83,20,0.6653,0.262,0.2817,0.2667,0.274,0.7757,2.4955,0.0142,0.0179,0.0215,0.0203,0.0209,0.0065,0.3439
15,+25,XGB,15.83,20,0.7245,0.3504,0.3603,0.3411,0.3505,0.7994,4.077,0.02,0.0318,0.0317,0.03,0.0309,0.0095,0.7615
15,+6focal,FFN,15.83,20,0.7051,0.3183,0.3538,0.3349,0.3441,0.7974,3.9177,0.0221,0.0229,0.0316,0.0299,0.0307,0.0095,0.7077
15,+6focal,GBT,15.83,20,0.7445,0.3618,0.3793,0.3591,0.3689,0.8051,4.5517,0.0162,0.0275,0.0287,0.0272,0.0279,0.0086,0.7758
15,+6focal,LogReg,15.83,20,0.7358,0.3466,0.3819,0.3616,0.3715,0.8059,4.612,0.0143,0.0257,0.026,0.0246,0.0253,0.0078,0.7312
15,+6focal,RF,15.83,20,0.755,0.3971,0.4085,0.3918,0.4,0.8135,5.4668,0.0155,0.0311,0.0329,0.0324,0.0326,0.01,1.0774
15,+6focal,SVM,15.83,20,0.6742,0.2896,0.3101,0.2936,0.3016,0.7843,2.9847,0.0172,0.0202,0.0223,0.0211,0.0216,0.0067,0.4125
15,+6focal,XGB,15.83,20,0.7263,0.348,0.3704,0.3507,0.3603,0.8024,4.343,0.0184,0.0259,0.0355,0.0336,0.0345,0.0107,0.8711
15,BIBLIO,FFN,15.83,20,0.7237,0.3367,0.3669,0.3473,0.3568,0.8013,4.2369,0.0144,0.0277,0.0306,0.029,0.0298,0.0092,0.7952
15,BIBLIO,GBT,15.83,20,0.745,0.3641,0.3904,0.3696,0.3797,0.8084,4.8284,0.0133,0.0175,0.021,0.0199,0.0204,0.0063,0.5988
15,BIBLIO,LogReg,15.83,20,0.7291,0.3359,0.3671,0.3476,0.3571,0.8014,4.2141,0.0133,0.0236,0.0227,0.0215,0.0221,0.0068,0.5723
15,BIBLIO,RF,15.83,20,0.7525,0.396,0.3971,0.3809,0.3888,0.81,5.0798,0.0164,0.0284,0.0277,0.0273,0.0274,0.0084,0.7937
15,BIBLIO,SVM,15.83,20,0.6554,0.2799,0.2977,0.2818,0.2895,0.7805,2.7686,0.0172,0.017,0.0257,0.0244,0.025,0.0077,0.4337
15,BIBLIO,XGB,15.83,20,0.7112,0.3429,0.3547,0.3358,0.345,0.7977,3.9205,0.0166,0.0242,0.025,0.0236,0.0243,0.0075,0.602
20,+25,FFN,21.17,20,0.6546,0.3225,0.3449,0.3265,0.3354,0.7263,2.462,0.0211,0.0239,0.029,0.0275,0.0283,0.0116,0.4351
20,+25,GBT,21.17,20,0.7363,0.4196,0.4329,0.4098,0.4211,0.7616,4.1391,0.0098,0.0181,0.0163,0.0155,0.0159,0.0065,0.393
