subset_label,subset_size,in_top1_count,in_top3_count,in_top5_count
cross_domain_attack+semantic_coherence,2,6,9,12
var_conf_pro+semantic_coherence,2,4,8,9
BIBLIO_ONLY,0,2,6,6
cross_domain_attack+delta_H+semantic_coherence,3,0,6,8
H_final,1,0,3,3
cross_domain_attack+var_conf_pro+H_final+semantic_coherence,4,0,2,3
cross_domain_attack+H_final+semantic_coherence,3,0,1,3
cross_domain_attack+var_conf_pro+semantic_coherence,3,0,1,3
cross_domain_attack,1,0,0,6
delta_H+semantic_coherence,2,0,0,5
cross_domain_attack+conf_gap_change+semantic_coherence,3,0,0,1
var_conf_pro,1,0,0,1
