subset_id,subset_label,subset_size,k_pct,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,DOR_mean,DOR_std,n_obs
0,BIBLIO_ONLY,0,5,0.39507,0.07218,0.15847,0.02896,0.22621,0.04133,5.5309,1.8927,120
0,BIBLIO_ONLY,0,10,0.33239,0.0489,0.26667,0.03923,0.29592,0.04353,4.54092,1.19485,120
0,BIBLIO_ONLY,0,15,0.29597,0.03688,0.35617,0.04439,0.32329,0.04029,4.1338,0.97602,120
0,BIBLIO_ONLY,0,20,0.27236,0.03002,0.43701,0.04817,0.33557,0.03699,3.98858,0.92428,120
1,cross_domain_attack,1,5,0.39073,0.07303,0.15673,0.02929,0.22372,0.04181,5.42171,1.8462,120
1,cross_domain_attack,1,10,0.33128,0.04671,0.26577,0.03747,0.29493,0.04158,4.50334,1.16717,120
1,cross_domain_attack,1,15,0.29824,0.03821,0.3589,0.04599,0.32577,0.04174,4.20877,1.05122,120
1,cross_domain_attack,1,20,0.27347,0.03013,0.43879,0.04835,0.33695,0.03713,4.02781,0.95439,120
2,conf_gap_change,1,5,0.38439,0.07254,0.15419,0.0291,0.22009,0.04154,5.25858,1.79168,120
2,conf_gap_change,1,10,0.32688,0.04505,0.26224,0.03614,0.29101,0.0401,4.38304,1.10236,120
2,conf_gap_change,1,15,0.29609,0.03644,0.35631,0.04385,0.32342,0.0398,4.13468,0.96404,120
2,conf_gap_change,1,20,0.27435,0.02974,0.44021,0.04772,0.33803,0.03665,4.05092,0.91661,120
3,var_conf_pro,1,5,0.39026,0.07496,0.15654,0.03007,0.22345,0.04292,5.42426,1.90375,120
3,var_conf_pro,1,10,0.33058,0.04734,0.26521,0.03798,0.29431,0.04215,4.48554,1.14234,120
3,var_conf_pro,1,15,0.29789,0.03555,0.35847,0.04278,0.32538,0.03883,4.18013,0.94435,120
3,var_conf_pro,1,20,0.27391,0.02843,0.4395,0.04561,0.33749,0.03502,4.02857,0.88314,120
4,H_final,1,5,0.39272,0.07091,0.15753,0.02844,0.22487,0.0406,5.4624,1.85618,120
4,H_final,1,10,0.32559,0.0459,0.26121,0.03682,0.28986,0.04086,4.35315,1.09376,120
4,H_final,1,15,0.29636,0.03833,0.35664,0.04613,0.32372,0.04187,4.15497,1.0315,120
4,H_final,1,20,0.27342,0.02964,0.4387,0.04756,0.33688,0.03652,4.0205,0.91725,120
5,delta_H,1,5,0.38838,0.0693,0.15579,0.0278,0.22238,0.03968,5.34039,1.76868,120
5,delta_H,1,10,0.32418,0.04672,0.26008,0.03748,0.28861,0.0416,4.32528,1.13749,120
5,delta_H,1,15,0.29053,0.03569,0.34962,0.04295,0.31735,0.03899,3.97732,0.92496,120
5,delta_H,1,20,0.27092,0.02815,0.4347,0.04517,0.3338,0.03469,3.93017,0.86313,120
6,semantic_coherence,1,5,0.38897,0.0758,0.15603,0.0304,0.22272,0.0434,5.40521,1.97654,120
6,semantic_coherence,1,10,0.32999,0.04643,0.26474,0.03725,0.29378,0.04134,4.46894,1.15304,120
6,semantic_coherence,1,15,0.29718,0.03289,0.35763,0.03958,0.32462,0.03592,4.14805,0.89622,120
6,semantic_coherence,1,20,0.27383,0.02639,0.43936,0.04235,0.33738,0.03252,4.01341,0.82928,120
7,cross_domain_attack+conf_gap_change,2,5,0.38239,0.0719,0.15339,0.02884,0.21895,0.04117,5.20288,1.73649,120
7,cross_domain_attack+conf_gap_change,2,10,0.32629,0.04899,0.26177,0.0393,0.29049,0.04361,4.39201,1.22771,120
7,cross_domain_attack+conf_gap_change,2,15,0.29707,0.03918,0.35749,0.04714,0.32449,0.04279,4.1809,1.06643,120
7,cross_domain_attack+conf_gap_change,2,20,0.27289,0.03124,0.43785,0.05013,0.33623,0.03849,4.01689,0.98781,120
8,cross_domain_attack+var_conf_pro,2,5,0.38486,0.07267,0.15438,0.02915,0.22036,0.04161,5.27101,1.79352,120
8,cross_domain_attack+var_conf_pro,2,10,0.32934,0.04721,0.26422,0.03787,0.29321,0.04203,4.45435,1.14643,120
8,cross_domain_attack+var_conf_pro,2,15,0.29621,0.0378,0.35645,0.04549,0.32355,0.04129,4.1474,1.01985,120
8,cross_domain_attack+var_conf_pro,2,20,0.27383,0.03059,0.43936,0.04908,0.33738,0.03769,4.03938,0.93771,120
9,cross_domain_attack+H_final,2,5,0.38298,0.07206,0.15363,0.0289,0.21929,0.04126,5.22292,1.78268,120
9,cross_domain_attack+H_final,2,10,0.32729,0.05034,0.26257,0.04038,0.29138,0.04481,4.42301,1.25047,120
9,cross_domain_attack+H_final,2,15,0.29507,0.03809,0.35508,0.04584,0.32231,0.04161,4.11552,1.00062,120
9,cross_domain_attack+H_final,2,20,0.27339,0.03017,0.43865,0.0484,0.33684,0.03717,4.02373,0.93964,120
10,cross_domain_attack+delta_H,2,5,0.37852,0.0669,0.15184,0.02684,0.21673,0.03831,5.08581,1.66763,120
10,cross_domain_attack+delta_H,2,10,0.32318,0.04472,0.25927,0.03588,0.28772,0.03982,4.29165,1.10054,120
10,cross_domain_attack+delta_H,2,15,0.29382,0.03689,0.35358,0.04439,0.32094,0.0403,4.07433,0.97137,120
10,cross_domain_attack+delta_H,2,20,0.27303,0.02811,0.43809,0.04511,0.33641,0.03464,3.99788,0.87121,120
11,cross_domain_attack+semantic_coherence,2,5,0.39249,0.07041,0.15744,0.02824,0.22473,0.04031,5.45652,1.86589,120
11,cross_domain_attack+semantic_coherence,2,10,0.33357,0.04606,0.26761,0.03695,0.29697,0.041,4.5603,1.18322,120
11,cross_domain_attack+semantic_coherence,2,15,0.30192,0.03725,0.36332,0.04483,0.32979,0.04069,4.30943,1.04603,120
11,cross_domain_attack+semantic_coherence,2,20,0.27732,0.02828,0.44496,0.04538,0.34168,0.03484,4.14234,0.91792,120
12,conf_gap_change+var_conf_pro,2,5,0.37582,0.07755,0.15075,0.03111,0.21519,0.04441,5.09091,1.91892,120
12,conf_gap_change+var_conf_pro,2,10,0.32271,0.04754,0.2589,0.03814,0.2873,0.04233,4.29205,1.13536,120
12,conf_gap_change+var_conf_pro,2,15,0.29429,0.03663,0.35414,0.04408,0.32145,0.04001,4.08558,0.96453,120
12,conf_gap_change+var_conf_pro,2,20,0.27298,0.02983,0.43799,0.04787,0.33633,0.03676,4.00734,0.92042,120
13,conf_gap_change+H_final,2,5,0.37641,0.07326,0.15099,0.02939,0.21552,0.04195,5.0759,1.81821,120
13,conf_gap_change+H_final,2,10,0.32101,0.04908,0.25753,0.03938,0.28579,0.0437,4.25894,1.16798,120
13,conf_gap_change+H_final,2,15,0.29124,0.03816,0.35047,0.04592,0.31812,0.04168,4.01104,0.99996,120
13,conf_gap_change+H_final,2,20,0.27142,0.02921,0.4355,0.04687,0.33442,0.03599,3.95446,0.91094,120
14,conf_gap_change+delta_H,2,5,0.37582,0.07034,0.15075,0.02822,0.21519,0.04027,5.04079,1.72187,120
14,conf_gap_change+delta_H,2,10,0.32195,0.04691,0.25829,0.03763,0.28662,0.04176,4.272,1.13908,120
14,conf_gap_change+delta_H,2,15,0.28924,0.03677,0.34807,0.04425,0.31594,0.04016,3.94875,0.95318,120
14,conf_gap_change+delta_H,2,20,0.26872,0.0302,0.43117,0.04845,0.33109,0.03721,3.87357,0.91008,120
15,conf_gap_change+semantic_coherence,2,5,0.38415,0.0774,0.1541,0.03105,0.21996,0.04432,5.29046,1.93454,120
15,conf_gap_change+semantic_coherence,2,10,0.32242,0.04826,0.25866,0.03872,0.28704,0.04296,4.29016,1.16773,120
15,conf_gap_change+semantic_coherence,2,15,0.29374,0.03642,0.35348,0.04383,0.32085,0.03978,4.07043,0.97074,120
15,conf_gap_change+semantic_coherence,2,20,0.27391,0.0286,0.4395,0.04589,0.33749,0.03524,4.0318,0.91154,120
16,var_conf_pro+H_final,2,5,0.38521,0.07019,0.15452,0.02815,0.22056,0.04019,5.26466,1.74614,120
16,var_conf_pro+H_final,2,10,0.32406,0.04903,0.25998,0.03933,0.28851,0.04365,4.33113,1.15613,120
16,var_conf_pro+H_final,2,15,0.29284,0.03975,0.3524,0.04784,0.31987,0.04342,4.06256,1.02628,120
16,var_conf_pro+H_final,2,20,0.27262,0.0311,0.43743,0.04991,0.3359,0.03832,4.00159,0.9221,120
17,var_conf_pro+delta_H,2,5,0.38016,0.06769,0.1525,0.02715,0.21767,0.03876,5.128,1.67942,120
17,var_conf_pro+delta_H,2,10,0.32271,0.04751,0.2589,0.03812,0.2873,0.0423,4.29319,1.14931,120
17,var_conf_pro+delta_H,2,15,0.29002,0.03689,0.34901,0.04439,0.31679,0.04029,3.97088,0.96366,120
17,var_conf_pro+delta_H,2,20,0.27165,0.02925,0.43588,0.04693,0.33471,0.03603,3.96189,0.91021,120
18,var_conf_pro+semantic_coherence,2,5,0.39413,0.07579,0.1581,0.0304,0.22567,0.0434,5.5341,1.99089,120
18,var_conf_pro+semantic_coherence,2,10,0.33363,0.04716,0.26766,0.03783,0.29702,0.04198,4.56518,1.17918,120
18,var_conf_pro+semantic_coherence,2,15,0.29992,0.03496,0.36092,0.04207,0.32761,0.03819,4.23757,0.96909,120
18,var_conf_pro+semantic_coherence,2,20,0.27427,0.02802,0.44007,0.04495,0.33792,0.03452,4.03878,0.8906,120
19,H_final+delta_H,2,5,0.38498,0.0707,0.15443,0.02836,0.22043,0.04048,5.26757,1.81104,120
19,H_final+delta_H,2,10,0.32383,0.04804,0.25979,0.03854,0.2883,0.04277,4.32336,1.16855,120
19,H_final+delta_H,2,15,0.29335,0.03632,0.35301,0.04371,0.32043,0.03967,4.05833,0.95678,120
19,H_final+delta_H,2,20,0.27306,0.02711,0.43814,0.04349,0.33644,0.0334,3.99232,0.83897,120
20,H_final+semantic_coherence,2,5,0.38815,0.07158,0.1557,0.02871,0.22224,0.04099,5.34817,1.81054,120
20,H_final+semantic_coherence,2,10,0.32788,0.04615,0.26304,0.03703,0.2919,0.04109,4.41757,1.18013,120
20,H_final+semantic_coherence,2,15,0.29531,0.03682,0.35537,0.04431,0.32256,0.04022,4.11772,1.00248,120
20,H_final+semantic_coherence,2,20,0.27406,0.02788,0.43974,0.04474,0.33767,0.03436,4.0315,0.88654,120
21,delta_H+semantic_coherence,2,5,0.39073,0.07028,0.15673,0.02819,0.22372,0.04024,5.40983,1.84685,120
21,delta_H+semantic_coherence,2,10,0.33034,0.04723,0.26502,0.03789,0.2941,0.04205,4.48528,1.2119,120
21,delta_H+semantic_coherence,2,15,0.29691,0.03672,0.3573,0.04418,0.32432,0.0401,4.16329,1.01795,120
21,delta_H+semantic_coherence,2,20,0.27435,0.03024,0.44021,0.04852,0.33803,0.03725,4.05761,0.96366,120
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,5,0.37242,0.07274,0.14939,0.02918,0.21324,0.04165,4.97123,1.72088,120
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,10,0.32447,0.04953,0.26031,0.03974,0.28887,0.04409,4.34656,1.19863,120
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,15,0.29429,0.04015,0.35414,0.04832,0.32145,0.04386,4.10665,1.05895,120
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,20,0.27303,0.033,0.43809,0.05294,0.33641,0.04065,4.03194,1.01389,120
23,cross_domain_attack+conf_gap_change+H_final,3,5,0.37441,0.07185,0.15019,0.02882,0.21438,0.04114,5.00995,1.68199,120
23,cross_domain_attack+conf_gap_change+H_final,3,10,0.32236,0.05105,0.25862,0.04095,0.28699,0.04545,4.30353,1.22819,120
23,cross_domain_attack+conf_gap_change+H_final,3,15,0.29088,0.03903,0.35005,0.04697,0.31774,0.04263,4.00759,1.03036,120
23,cross_domain_attack+conf_gap_change+H_final,3,20,0.26963,0.03174,0.43263,0.05093,0.33221,0.03911,3.91379,0.96516,120
24,cross_domain_attack+conf_gap_change+delta_H,3,5,0.37171,0.07252,0.14911,0.02909,0.21284,0.04152,4.95329,1.70681,120
24,cross_domain_attack+conf_gap_change+delta_H,3,10,0.32001,0.04871,0.25673,0.03908,0.2849,0.04337,4.23688,1.20308,120
24,cross_domain_attack+conf_gap_change+delta_H,3,15,0.2919,0.03768,0.35127,0.04534,0.31885,0.04115,4.02702,0.99674,120
24,cross_domain_attack+conf_gap_change+delta_H,3,20,0.26963,0.02988,0.43263,0.04794,0.33221,0.03681,3.901,0.9129,120
25,cross_domain_attack+conf_gap_change+semantic_coherence,3,5,0.38662,0.07367,0.15508,0.02955,0.22137,0.04218,5.32368,1.84814,120
25,cross_domain_attack+conf_gap_change+semantic_coherence,3,10,0.33058,0.0499,0.26521,0.04003,0.29431,0.04442,4.50406,1.25439,120
25,cross_domain_attack+conf_gap_change+semantic_coherence,3,15,0.2957,0.03463,0.35584,0.04167,0.32299,0.03782,4.11698,0.95359,120
25,cross_domain_attack+conf_gap_change+semantic_coherence,3,20,0.27365,0.02836,0.43908,0.04551,0.33717,0.03494,4.02188,0.90699,120
26,cross_domain_attack+var_conf_pro+H_final,3,5,0.37606,0.07409,0.15085,0.02972,0.21532,0.04242,5.06991,1.81035,120
