k_pct,metric,rank_in_slot,subset_size,subset_label,value_mean,value_std,delta_vs_BIBLIO,BIBLIO_baseline
5,Precision,1,0,BIBLIO_ONLY,0.39507,0.07218,0.0,0.39507
5,Precision,2,2,var_conf_pro+semantic_coherence,0.39413,0.07579,-0.00094,0.39507
5,Precision,3,1,H_final,0.39272,0.07091,-0.00235,0.39507
5,Precision,4,2,cross_domain_attack+semantic_coherence,0.39249,0.07041,-0.00258,0.39507
5,Precision,5,2,delta_H+semantic_coherence,0.39073,0.07028,-0.00434,0.39507
5,Recall,1,0,BIBLIO_ONLY,0.15847,0.02896,0.0,0.15847
5,Recall,2,2,var_conf_pro+semantic_coherence,0.1581,0.0304,-0.00037,0.15847
5,Recall,3,1,H_final,0.15753,0.02844,-0.00094,0.15847
5,Recall,4,2,cross_domain_attack+semantic_coherence,0.15744,0.02824,-0.00103,0.15847
5,Recall,5,2,delta_H+semantic_coherence,0.15673,0.02819,-0.00174,0.15847
5,DOR,1,2,var_conf_pro+semantic_coherence,5.5341,1.99089,0.0032,5.5309
5,DOR,2,0,BIBLIO_ONLY,5.5309,1.8927,0.0,5.5309
5,DOR,3,1,H_final,5.4624,1.85618,-0.0685,5.5309
5,DOR,4,2,cross_domain_attack+semantic_coherence,5.45652,1.86589,-0.07438,5.5309
5,DOR,5,1,var_conf_pro,5.42426,1.90375,-0.10664,5.5309
10,Precision,1,2,var_conf_pro+semantic_coherence,0.33363,0.04716,0.00124,0.33239
10,Precision,2,2,cross_domain_attack+semantic_coherence,0.33357,0.04606,0.00118,0.33239
10,Precision,3,0,BIBLIO_ONLY,0.33239,0.0489,0.0,0.33239
10,Precision,4,1,cross_domain_attack,0.33128,0.04671,-0.00111,0.33239
10,Precision,5,3,cross_domain_attack+delta_H+semantic_coherence,0.3311,0.0445,-0.00129,0.33239
10,Recall,1,2,var_conf_pro+semantic_coherence,0.26766,0.03783,0.00099,0.26667
10,Recall,2,2,cross_domain_attack+semantic_coherence,0.26761,0.03695,0.00094,0.26667
10,Recall,3,0,BIBLIO_ONLY,0.26667,0.03923,0.0,0.26667
10,Recall,4,1,cross_domain_attack,0.26577,0.03747,-0.0009,0.26667
