subset_label,in_top1_count,in_top3_count,in_top5_count,subset_size
cross_domain_attack+semantic_coherence+prediction_volatility,6,6,6,3
cross_domain_attack+semantic_coherence,3,4,6,2
delta_H+semantic_coherence,3,3,3,2
cross_domain_attack+H_final+semantic_coherence,0,3,3,3
cross_domain_attack+conf_gap_change+prediction_volatility,0,3,3,3
cross_domain_attack+conf_gap_change+var_conf_pro+semantic_coherence+prediction_volatility,0,3,3,5
cross_domain_attack+H_final+delta_H+semantic_coherence,0,3,3,4
var_conf_pro+H_final+semantic_coherence,0,3,3,3
cross_domain_attack+H_final+semantic_coherence+prediction_volatility,0,3,3,4
semantic_coherence,0,2,3,1
var_conf_pro,0,2,2,1
H_final+delta_H+semantic_coherence,0,1,1,3
var_conf_pro+delta_H+semantic_coherence,0,0,5,3
conf_gap_change+H_final+semantic_coherence+prediction_volatility,0,0,3,4
cross_domain_attack+conf_gap_change+delta_H,0,0,3,3
cross_domain_attack,0,0,3,1
cross_domain_attack+delta_H+semantic_coherence,0,0,2,3
conf_gap_change+semantic_coherence,0,0,2,2
cross_domain_attack+conf_gap_change+var_conf_pro,0,0,1,3
cross_domain_attack+conf_gap_change+semantic_coherence,0,0,1,3
cross_domain_attack+conf_gap_change+semantic_coherence+prediction_volatility,0,0,1,4
