subset_id,subset_label,subset_size,k_pct,Precision_mean,Precision_std,Recall_mean,Recall_std,DOR_mean,DOR_std,n_obs
0,BIBLIO_ONLY,0,5,0.39343,0.07152,0.15782,0.02869,5.49501,2.0214,30
0,BIBLIO_ONLY,0,10,0.33052,0.04945,0.26516,0.03967,4.49632,1.23673,30
0,BIBLIO_ONLY,0,15,0.29421,0.04084,0.35405,0.04915,4.109,1.11085,30
0,BIBLIO_ONLY,0,20,0.2743,0.03161,0.44011,0.05071,4.06028,0.9802,30
1,cross_domain_attack,1,5,0.38732,0.08042,0.15537,0.03226,5.38355,2.02085,30
1,cross_domain_attack,1,10,0.33427,0.05044,0.26817,0.04046,4.59824,1.27876,30
1,cross_domain_attack,1,15,0.30282,0.04089,0.36441,0.0492,4.35538,1.14543,30
1,cross_domain_attack,1,20,0.275,0.03253,0.44124,0.05219,4.09507,1.05899,30
2,conf_gap_change,1,5,0.39014,0.0698,0.1565,0.028,5.38201,1.78712,30
2,conf_gap_change,1,10,0.32958,0.04866,0.26441,0.03904,4.46781,1.21145,30
2,conf_gap_change,1,15,0.30047,0.04156,0.36158,0.05001,4.29021,1.14048,30
2,conf_gap_change,1,20,0.2757,0.0325,0.44237,0.05214,4.1139,1.01947,30
3,var_conf_pro,1,5,0.3892,0.06974,0.15612,0.02797,5.36098,1.80915,30
3,var_conf_pro,1,10,0.33192,0.04597,0.26629,0.03688,4.51029,1.1196,30
3,var_conf_pro,1,15,0.30313,0.03706,0.36478,0.0446,4.33982,1.03075,30
3,var_conf_pro,1,20,0.27805,0.02875,0.44614,0.04613,4.16476,0.90087,30
4,H_final,1,5,0.39296,0.06972,0.15763,0.02797,5.44809,1.7636,30
4,H_final,1,10,0.32347,0.04469,0.25951,0.03585,4.2938,1.07248,30
4,H_final,1,15,0.29953,0.04211,0.36045,0.05067,4.26913,1.17826,30
4,H_final,1,20,0.27336,0.03186,0.43861,0.05113,4.03258,0.99398,30
5,delta_H,1,5,0.38685,0.07404,0.15518,0.0297,5.32958,1.88779,30
5,delta_H,1,10,0.31925,0.05063,0.25612,0.04061,4.2241,1.22739,30
5,delta_H,1,15,0.29124,0.04062,0.35047,0.04888,4.0224,1.05939,30
5,delta_H,1,20,0.27089,0.02979,0.43465,0.0478,3.93943,0.93084,30
6,semantic_coherence,1,5,0.39531,0.08442,0.15857,0.03386,5.64783,2.38938,30
6,semantic_coherence,1,10,0.32981,0.04668,0.2646,0.03745,4.46505,1.18359,30
6,semantic_coherence,1,15,0.30078,0.03873,0.36196,0.04661,4.28039,1.05494,30
6,semantic_coherence,1,20,0.27852,0.02687,0.44689,0.04311,4.16969,0.85954,30
7,prediction_volatility,1,5,0.37981,0.07772,0.15235,0.03117,5.17664,1.89666,30
7,prediction_volatility,1,10,0.32676,0.05491,0.26215,0.04405,4.43892,1.4151,30
7,prediction_volatility,1,15,0.2975,0.04021,0.358,0.04838,4.19982,1.12961,30
7,prediction_volatility,1,20,0.27359,0.03189,0.43898,0.05116,4.04076,1.00128,30
8,cross_domain_attack+conf_gap_change,2,5,0.38169,0.07447,0.15311,0.02987,5.1964,1.79317,30
8,cross_domain_attack+conf_gap_change,2,10,0.32817,0.05441,0.26328,0.04365,4.46675,1.3687,30
8,cross_domain_attack+conf_gap_change,2,15,0.2964,0.04373,0.35669,0.05262,4.18966,1.19852,30
8,cross_domain_attack+conf_gap_change,2,20,0.27371,0.03523,0.43917,0.05653,4.07017,1.0999,30
9,cross_domain_attack+var_conf_pro,2,5,0.38592,0.06715,0.1548,0.02694,5.25175,1.61832,30
9,cross_domain_attack+var_conf_pro,2,10,0.32653,0.04856,0.26196,0.03896,4.3867,1.1544,30
9,cross_domain_attack+var_conf_pro,2,15,0.29844,0.04015,0.35913,0.04832,4.22492,1.12322,30
9,cross_domain_attack+var_conf_pro,2,20,0.27711,0.02891,0.44463,0.04638,4.13484,0.90763,30
10,cross_domain_attack+H_final,2,5,0.39155,0.06854,0.15706,0.02749,5.39378,1.62037,30
10,cross_domain_attack+H_final,2,10,0.33146,0.05231,0.26591,0.04196,4.53778,1.33109,30
10,cross_domain_attack+H_final,2,15,0.29202,0.03837,0.35141,0.04617,4.03115,1.0115,30
10,cross_domain_attack+H_final,2,20,0.27394,0.02958,0.43955,0.04746,4.03482,0.91707,30
11,cross_domain_attack+delta_H,2,5,0.37418,0.06644,0.15009,0.02665,4.97398,1.62742,30
11,cross_domain_attack+delta_H,2,10,0.32488,0.04885,0.26064,0.03919,4.35338,1.22418,30
11,cross_domain_attack+delta_H,2,15,0.29484,0.03971,0.3548,0.04779,4.11899,1.07551,30
11,cross_domain_attack+delta_H,2,20,0.27254,0.02954,0.43729,0.0474,3.98847,0.90507,30
12,cross_domain_attack+semantic_coherence,2,5,0.40235,0.07376,0.16139,0.02959,5.733,2.03807,30
12,cross_domain_attack+semantic_coherence,2,10,0.33592,0.05085,0.26949,0.0408,4.64812,1.34693,30
12,cross_domain_attack+semantic_coherence,2,15,0.30266,0.04137,0.36422,0.04978,4.35808,1.19788,30
12,cross_domain_attack+semantic_coherence,2,20,0.27758,0.02972,0.44539,0.04769,4.15866,0.96248,30
13,cross_domain_attack+prediction_volatility,2,5,0.38169,0.07456,0.15311,0.02991,5.19689,1.79222,30
13,cross_domain_attack+prediction_volatility,2,10,0.32606,0.05811,0.26158,0.04662,4.44052,1.49519,30
13,cross_domain_attack+prediction_volatility,2,15,0.2989,0.04361,0.3597,0.05248,4.26123,1.21538,30
13,cross_domain_attack+prediction_volatility,2,20,0.27582,0.03465,0.44256,0.0556,4.13591,1.10041,30
14,conf_gap_change+var_conf_pro,2,5,0.37371,0.06848,0.14991,0.02747,4.98424,1.76028,30
14,conf_gap_change+var_conf_pro,2,10,0.32582,0.04461,0.26139,0.03579,4.35232,1.09002,30
