k_pct,metric,rank_in_slot,subset_size,subset_label,value_mean,value_std,delta_vs_BIBLIO,BIBLIO_baseline
5,Precision,1,2,cross_domain_attack+semantic_coherence,0.40235,0.07376,0.00892,0.39343
5,Precision,2,3,cross_domain_attack+H_final+semantic_coherence,0.40141,0.07605,0.00798,0.39343
5,Precision,3,3,var_conf_pro+H_final+semantic_coherence,0.40094,0.07835,0.00751,0.39343
5,Precision,4,4,conf_gap_change+H_final+semantic_coherence+prediction_volatility,0.39953,0.07885,0.0061,0.39343
5,Precision,5,3,var_conf_pro+delta_H+semantic_coherence,0.39718,0.07032,0.00375,0.39343
5,Recall,1,2,cross_domain_attack+semantic_coherence,0.16139,0.02959,0.00357,0.15782
5,Recall,2,3,cross_domain_attack+H_final+semantic_coherence,0.16102,0.03051,0.0032,0.15782
5,Recall,3,3,var_conf_pro+H_final+semantic_coherence,0.16083,0.03143,0.00301,0.15782
5,Recall,4,4,conf_gap_change+H_final+semantic_coherence+prediction_volatility,0.16026,0.03163,0.00244,0.15782
5,Recall,5,3,var_conf_pro+delta_H+semantic_coherence,0.15932,0.02821,0.0015,0.15782
5,DOR,1,2,cross_domain_attack+semantic_coherence,5.733,2.03807,0.23799,5.49501
5,DOR,2,3,var_conf_pro+H_final+semantic_coherence,5.7307,2.15998,0.23569,5.49501
5,DOR,3,3,cross_domain_attack+H_final+semantic_coherence,5.72496,2.09386,0.22995,5.49501
5,DOR,4,4,conf_gap_change+H_final+semantic_coherence+prediction_volatility,5.69872,2.1709,0.20371,5.49501
5,DOR,5,1,semantic_coherence,5.64783,2.38938,0.15282,5.49501
10,Precision,1,3,cross_domain_attack+semantic_coherence+prediction_volatility,0.34272,0.05229,0.0122,0.33052
10,Precision,2,4,cross_domain_attack+H_final+semantic_coherence+prediction_volatility,0.33991,0.05231,0.00939,0.33052
10,Precision,3,4,cross_domain_attack+H_final+delta_H+semantic_coherence,0.33709,0.04965,0.00657,0.33052
10,Precision,4,3,var_conf_pro+delta_H+semantic_coherence,0.33709,0.04986,0.00657,0.33052
