feature_set,model,v0_d_AUROC_mean,v0_win,v2a_d_AUROC_mean,v2a_win,v2a_better
FOCAL6,LogReg,-0.17013958125623133,0,-0.17315689916551716,0,False
FOCAL6,RF,-0.187637316361418,0,-0.1968728517643417,0,False
FOCAL6,GBT,-0.21023015428600042,0,-0.20992012546834382,0,True
FOCAL6,XGB,-0.18500423387372136,0,-0.1823564694045717,0,True
FOCAL6,SVM,-0.1542234028508083,0,-0.13696592869792448,0,True
FOCAL6,FFN,-0.14462389088442434,0,-0.15653917243702678,0,False
BIBLIO+FOCAL6,LogReg,0.0049993854054275425,17,0.0033672953741515355,13,False
BIBLIO+FOCAL6,RF,0.0012403428982459054,14,0.0013068101631179608,13,True
BIBLIO+FOCAL6,GBT,0.0016089858279044356,13,0.0012554801349376587,11,False
BIBLIO+FOCAL6,XGB,0.010562945865599544,16,0.012966465899106295,15,True
BIBLIO+FOCAL6,SVM,0.009844894540123928,15,0.011391396586496228,16,True
BIBLIO+FOCAL6,FFN,-0.013362424143095814,4,-0.02269652230523042,3,False
