dataset,feature_set,model,T_pct,P_mean,P_std,R_mean,R_std,F1_mean,F1_std,DOR_mean,DOR_std
v0_baseline,BIBLIO,FFN,5,0.35774647887323946,0.04532913147255263,0.14350282485875707,0.01818287194661717,0.20483870967741935,0.02595458334315513,4.501057760589271,1.0431538240209783
v0_baseline,BIBLIO,FFN,10,0.3214788732394366,0.029105540042862806,0.257909604519774,0.023350207266025522,0.28620689655172415,0.02591214223251735,4.182812875925362,0.6863567501496473
v0_baseline,BIBLIO,FFN,15,0.2915492957746479,0.02263895894272406,0.35084745762711866,0.027243492964973026,0.31846153846153846,0.024728708998975522,3.9468959174774363,0.6196689182722401
v0_baseline,BIBLIO,FFN,20,0.2686619718309859,0.01647995029204676,0.43107344632768363,0.026442406118312313,0.33101952277657265,0.020305014676534828,3.798782054549394,0.512566560926963
v0_baseline,BIBLIO,GBT,5,0.4323943661971831,0.034530105301697166,0.17344632768361581,0.01385105918881638,0.24758064516129036,0.019771269971133078,6.32131962564582,0.9411199188776453
v0_baseline,BIBLIO,GBT,10,0.3640845070422535,0.02555515431673095,0.292090395480226,0.02050187521455254,0.3241379310344828,0.02275129726003635,5.303954129433035,0.7274447056038919
v0_baseline,BIBLIO,GBT,15,0.32300469483568073,0.023380093141762873,0.3887005649717514,0.028135366323138383,0.3528205128205128,0.025538255585617908,4.886398451518344,0.756903357105028
v0_baseline,BIBLIO,GBT,20,0.2971830985915493,0.017822972797714824,0.4768361581920904,0.028597312285598947,0.3661605206073753,0.02195975824100222,4.796442038210092,0.7100078024746522
v0_baseline,BIBLIO,LogReg,5,0.35985915492957743,0.04824680837334015,0.14435028248587572,0.019353239516989546,0.2060483870967742,0.027625188665380235,4.549232768520534,1.0012097464548928
v0_baseline,BIBLIO,LogReg,10,0.3232394366197183,0.03456788028870872,0.2593220338983051,0.02773242373444428,0.2877742946708464,0.030775166150449142,4.242389315424316,0.8018875562295432
v0_baseline,BIBLIO,LogReg,15,0.2955399061032864,0.019295777653928637,0.35564971751412433,0.023220342600490402,0.32282051282051283,0.02107692636044511,4.043963840217628,0.5150570711421234
v0_baseline,BIBLIO,LogReg,20,0.2776408450704225,0.019927508032339513,0.44548022598870063,0.03197408068465775,0.3420824295010846,0.024552764777372765,4.101192535427659,0.6486000634303575
v0_baseline,BIBLIO,RF,5,0.4302816901408451,0.05396696982461464,0.17259887005649718,0.021647767556766326,0.2463709677419355,0.030900442399577736,6.355167534226416,1.4942868925350126
v0_baseline,BIBLIO,RF,10,0.36795774647887325,0.02480622655823384,0.2951977401129944,0.01990104051564524,0.3275862068965517,0.022084540258741108,5.4161110195155855,0.71791991541836
v0_baseline,BIBLIO,RF,15,0.3262910798122066,0.020689823183028706,0.3926553672316384,0.024897922813475217,0.3564102564102564,0.02259965301530827,4.984381149309864,0.6964444304611901
v0_baseline,BIBLIO,RF,20,0.30017605633802813,0.016901215405371456,0.481638418079096,0.027118334322742917,0.36984815618221256,0.020824057158895858,4.91114838023568,0.7237789366956638
v0_baseline,BIBLIO,SVM,5,0.3140845070422535,0.047510838547560635,0.12598870056497175,0.01905801998235483,0.17983870967741936,0.02720378658771616,3.633519344217928,0.8895765520090161
v0_baseline,BIBLIO,SVM,10,0.2545774647887324,0.033131696454815035,0.20423728813559322,0.02658023105414539,0.22664576802507835,0.02949655734535257,2.809444518584115,0.589301265295913
v0_baseline,BIBLIO,SVM,15,0.2356807511737089,0.027017051650641156,0.28361581920903955,0.03251204520670376,0.25743589743589745,0.029510933341469574,2.668157194517481,0.5211290758845523
v0_baseline,BIBLIO,SVM,20,0.22464788732394364,0.020423174244238996,0.36045197740112994,0.03276938692295976,0.2767895878524945,0.025163477159930038,2.647995925502862,0.4514594786832739
v0_baseline,BIBLIO,XGB,5,0.4232394366197183,0.053966969824614644,0.16977401129943503,0.021647767556766326,0.24233870967741936,0.03090044239957774,6.149446707584359,1.413364041780768
v0_baseline,BIBLIO,XGB,10,0.351056338028169,0.02919508198657939,0.28163841807909606,0.02342204317567387,0.31253918495297806,0.025991859825042464,4.946280488359324,0.8006242668887371
v0_baseline,BIBLIO,XGB,15,0.3016431924882629,0.025709034259900135,0.36299435028248583,0.030937990380557792,0.32948717948717954,0.028082175883890923,4.24023663314756,0.7455467732923724
v0_baseline,BIBLIO,XGB,20,0.27359154929577467,0.02455770858956267,0.4389830508474576,0.039403329036360464,0.33709327548806944,0.030257653967183516,3.993590587893691,0.7977903459959609
v0_baseline,BIBLIO+FOCAL6,FFN,5,0.3197183098591549,0.045719017344727525,0.12824858757062146,0.01833926684449523,0.18306451612903224,0.02617782444738431,3.732782501414717,0.8741849923449041
v0_baseline,BIBLIO+FOCAL6,FFN,10,0.3028169014084507,0.032312075193036874,0.24293785310734464,0.02592268179328381,0.2695924764890282,0.028766863181261662,3.7625409964569263,0.6947860419977373
v0_baseline,BIBLIO+FOCAL6,FFN,15,0.2812206572769953,0.021750397924783272,0.3384180790960452,0.02617420767219683,0.3071794871794872,0.02375812696399404,3.6717469397841938,0.5325842426897022
