dataset,feature_set,model,seed,T_pct,auroc,auprc,precision,recall,f1,DOR,TP,FP,TN,FN,k
v0_baseline,BIBLIO,LogReg,0,5,0.7394210063872311,0.2846829392052042,0.36619718309859156,0.14689265536723164,0.20967741935483872,4.5997533819316,26,45,1196,151,71
v0_baseline,BIBLIO,LogReg,0,10,0.7394210063872311,0.2846829392052042,0.31690140845070425,0.2542372881355932,0.2821316614420063,4.030943396226415,45,97,1144,132,142
v0_baseline,BIBLIO,LogReg,0,15,0.7394210063872311,0.2846829392052042,0.29577464788732394,0.3559322033898305,0.3230769230769231,4.022124214771722,63,150,1091,114,213
v0_baseline,BIBLIO,LogReg,0,20,0.7394210063872311,0.2846829392052042,0.2711267605633803,0.4350282485875706,0.33405639913232105,3.844572319127255,77,207,1034,100,284
v0_baseline,BIBLIO,RF,0,5,0.753024032924059,0.30100008455714056,0.3380281690140845,0.13559322033898305,0.19354838709677422,4.0137493571061205,24,47,1194,153,71
v0_baseline,BIBLIO,RF,0,10,0.753024032924059,0.30100008455714056,0.3028169014084507,0.24293785310734464,0.26959247648902823,3.7136425622536473,43,99,1142,134,142
v0_baseline,BIBLIO,RF,0,15,0.753024032924059,0.30100008455714056,0.3004694835680751,0.3615819209039548,0.3282051282051282,4.15282954930532,64,149,1092,113,213
v0_baseline,BIBLIO,RF,0,20,0.753024032924059,0.30100008455714056,0.29577464788732394,0.4745762711864407,0.3644251626898048,4.6945070478883,84,200,1041,93,284
v0_baseline,BIBLIO,GBT,0,5,0.7446291263196712,0.32023077203116174,0.4225352112676056,0.1694915254237288,0.24193548387096772,5.9816622421890955,30,41,1200,147,71
v0_baseline,BIBLIO,GBT,0,10,0.7446291263196712,0.32023077203116174,0.3732394366197183,0.2994350282485876,0.33228840125391856,5.533530771129209,53,89,1152,124,142
v0_baseline,BIBLIO,GBT,0,15,0.7446291263196712,0.32023077203116174,0.30985915492957744,0.3728813559322034,0.3384615384615385,4.425583339667098,66,147,1094,111,213
v0_baseline,BIBLIO,GBT,0,20,0.7446291263196712,0.32023077203116174,0.2711267605633803,0.4350282485875706,0.33405639913232105,3.844572319127255,77,207,1034,100,284
