field,feature_set,model,v0_d_mean,v0_win,v2a_d_mean,v2a_win,v2a_better_d,v2a_better_win
GLOBAL,BIBLIO+DEBATE5,LogReg,0.004537528965614585,16,0.003928397456033716,13,False,False
01,BIBLIO+DEBATE5,LogReg,0.0068461191946640795,14,0.00389256313977836,11,False,False
03,BIBLIO+DEBATE5,LogReg,-0.026572662735280528,4,-0.015832134181637043,6,True,True
07,BIBLIO+DEBATE5,LogReg,-0.002966906505275674,10,-0.009796519474046078,8,False,False
08,BIBLIO+DEBATE5,LogReg,0.009391823213089678,16,0.005370224848066113,13,False,False
09,BIBLIO+DEBATE5,LogReg,0.006826382478551146,13,0.011089400153296814,16,True,True
12,BIBLIO+DEBATE5,LogReg,-0.02910643626613136,5,0.005138054318664131,13,True,True
13,BIBLIO+DEBATE5,LogReg,-0.0010074295079861462,12,0.006661504725019296,15,True,True
14,BIBLIO+DEBATE5,LogReg,0.01627788041977419,12,0.005825206565040553,12,False,False
GLOBAL,BIBLIO+DEBATE5,RF,0.0006755987744529402,10,0.001183208365770283,13,True,True
01,BIBLIO+DEBATE5,RF,0.0052521924411861095,16,0.00394692441745656,14,False,False
03,BIBLIO+DEBATE5,RF,-0.010949703939004624,8,-0.014606888778592389,8,False,False
07,BIBLIO+DEBATE5,RF,-0.006178277693402628,9,-0.0007960633806883943,10,True,True
08,BIBLIO+DEBATE5,RF,-0.00218952976050793,6,0.0003946698457897635,10,True,True
09,BIBLIO+DEBATE5,RF,-0.0033471703242415663,7,-0.0002460155840177336,10,True,True
12,BIBLIO+DEBATE5,RF,-0.0008593412950998025,8,0.00574732973966553,14,True,True
13,BIBLIO+DEBATE5,RF,-0.0014554594456716418,9,0.0022359616200298194,10,True,True
14,BIBLIO+DEBATE5,RF,-0.0009524584434857708,8,0.014117543630287633,12,True,True
GLOBAL,BIBLIO+DEBATE5,GBT,-0.00048564352604283935,6,0.0016356182593771195,12,True,True
01,BIBLIO+DEBATE5,GBT,0.007268274331396335,17,0.007607779174023393,15,True,False
03,BIBLIO+DEBATE5,GBT,-0.01896552831342025,7,0.017047573520982396,12,True,True
07,BIBLIO+DEBATE5,GBT,-0.014233040468840913,5,0.012765221640217239,14,True,True
08,BIBLIO+DEBATE5,GBT,0.0018198442172138395,11,-0.006287800936324278,9,False,False
09,BIBLIO+DEBATE5,GBT,-0.009729295776681069,5,-0.00995705242552498,8,False,True
12,BIBLIO+DEBATE5,GBT,0.009149050989953195,11,0.02080614970740658,12,True,True
13,BIBLIO+DEBATE5,GBT,-0.014803944093065869,5,0.008401605167712484,11,True,True
14,BIBLIO+DEBATE5,GBT,0.004431300394663362,8,0.008403080551527586,9,True,True
GLOBAL,BIBLIO+DEBATE5,XGB,0.0017865353710557696,11,0.007863965182079314,15,True,True
01,BIBLIO+DEBATE5,XGB,0.009971079348847367,12,0.014337498705967806,15,True,True
03,BIBLIO+DEBATE5,XGB,-0.03510053035899603,8,0.007735592034246705,11,True,True
07,BIBLIO+DEBATE5,XGB,-0.0039010335056358647,8,0.021545397341807215,12,True,True
08,BIBLIO+DEBATE5,XGB,0.016601027883317444,13,0.016282631721295043,16,False,True
09,BIBLIO+DEBATE5,XGB,-0.020199753230901413,6,-0.00685149471297109,8,True,True
12,BIBLIO+DEBATE5,XGB,0.016076562959706702,10,0.028868415679308774,17,True,True
13,BIBLIO+DEBATE5,XGB,0.016576497334899593,12,0.013381737283293216,9,False,False
14,BIBLIO+DEBATE5,XGB,0.01374437479638745,13,0.016651652246395598,10,True,False
