dataset,field,feature_set,model,n_test_mean,n_pos_mean,auc_mean,auc_std,P_mean,P_std,R_mean,R_std,DOR_mean,DOR_std
v0_baseline,01,BIBLIO,GBT,563.2,88.85,0.7370082335570236,0.0253504943518742,0.3789195672401962,0.056232747461816654,0.24215053268193798,0.03576201879882078,4.136443658060967,1.2542466087031094
v0_baseline,01,BIBLIO,LogReg,563.2,88.85,0.7169428796333406,0.02160951529997011,0.3460789344794184,0.058346971933956784,0.22045692095844602,0.03248920784397952,3.458204775839852,0.9526436204058258
v0_baseline,01,BIBLIO,RF,563.2,88.85,0.7454933014745886,0.020664614472215483,0.3631317609264202,0.06107415457914671,0.23154541919848737,0.034938537632656086,3.8030759867314856,1.1160105840372143
v0_baseline,01,BIBLIO+DEBATE25,GBT,563.2,88.85,0.7449812102013349,0.019461686699281645,0.3803315462922449,0.04985708418760309,0.24283678652144877,0.02942066267589037,4.118569634453831,1.018572172149524
v0_baseline,01,BIBLIO+DEBATE25,LogReg,563.2,88.85,0.721418176382798,0.01582881234492054,0.35641986720680563,0.04371515638683161,0.22754670022477255,0.025950704537124537,3.6132996377168247,0.7410697648552745
v0_baseline,01,BIBLIO+DEBATE25,RF,563.2,88.85,0.7513433750976999,0.01704715914735244,0.38344479030835366,0.05891509405429376,0.24446824867793274,0.03282260023794531,4.213365314079984,1.2190129604608775
v0_baseline,01,BIBLIO+DEBATE5,GBT,563.2,88.85,0.74427650788842,0.020488508288976852,0.3901477223563289,0.05232571783897529,0.2496575656040966,0.036137480778719325,4.368564048208283,1.1794219367290564
v0_baseline,01,BIBLIO+DEBATE5,LogReg,563.2,88.85,0.7237889988280046,0.01704230449941271,0.36618770324301364,0.04874496113085901,0.23377426108508703,0.028647991038017233,3.823591786120872,0.9290610249199943
v0_baseline,01,BIBLIO+DEBATE5,RF,563.2,88.85,0.7507454939157747,0.01833162183803167,0.37725100354559393,0.06511419592085106,0.24055820329405336,0.037387877015252535,4.122434343340142,1.385727030168033
v0_baseline,03,BIBLIO,GBT,26.55,6.3,0.7720438236579978,0.10792764207671701,0.5125,0.26802695814488076,0.26043650793650797,0.14096591710049547,7.738374319637478,12.69877461547219
v0_baseline,03,BIBLIO,LogReg,26.55,6.3,0.7773862724308527,0.09897818852573229,0.5333333333333333,0.22196622681830047,0.2825992063492063,0.1453840082083601,6.573581181345887,5.668822054616839
v0_baseline,03,BIBLIO,RF,26.55,6.3,0.7723326522466407,0.10084063537205509,0.4541666666666666,0.244044562606938,0.2390079365079365,0.16761184729066736,6.829087754350913,12.830593348421047
v0_baseline,03,BIBLIO+DEBATE25,GBT,26.55,6.3,0.7534816164130114,0.12101771737748769,0.5,0.30588764516074907,0.26162698412698415,0.18192939916785567,9.103942085205244,13.702515710716527
v0_baseline,03,BIBLIO+DEBATE25,LogReg,26.55,6.3,0.731117157651825,0.125077666738041,0.4333333333333333,0.3042102227886545,0.22019841269841267,0.17282175367081912,7.3320684357659145,13.321871009285118
v0_baseline,03,BIBLIO+DEBATE25,RF,26.55,6.3,0.7421868495046723,0.1109528866861488,0.3625,0.30018878075898714,0.18442460317460316,0.15884451159699936,5.869526839173898,12.653567618311218
v0_baseline,03,BIBLIO+DEBATE5,GBT,26.55,6.3,0.7530782953445776,0.08779055249463553,0.4291666666666666,0.3074073340144115,0.22529761904761902,0.18336939917107142,9.583772593419651,19.12181573232421
v0_baseline,03,BIBLIO+DEBATE5,LogReg,26.55,6.3,0.7508136096955722,0.1142469607892069,0.3958333333333333,0.30091842845660904,0.20061507936507933,0.17352234751979395,6.850024263220194,13.454927280267226
v0_baseline,03,BIBLIO+DEBATE5,RF,26.55,6.3,0.7613829483076361,0.11086657973106173,0.4208333333333333,0.2942864797501623,0.21900793650793648,0.175722936872294,7.07382054982055,13.292003899259358
v0_baseline,07,BIBLIO,GBT,60.55,7.95,0.7261452116370968,0.0847681505419967,0.30476190476190473,0.1670421834776647,0.2498074148074148,0.14271622850368137,4.912692149519533,3.888072668729373
v0_baseline,07,BIBLIO,LogReg,60.55,7.95,0.7533263763647514,0.07215454728211777,0.29928571428571427,0.11657353963066283,0.25751068376068376,0.10281104513053663,4.4018002654553925,2.843129779632485
v0_baseline,07,BIBLIO,RF,60.55,7.95,0.7320492029017399,0.07010238845064033,0.2861904761904762,0.13611403992747306,0.24904983904983907,0.12021039155551683,4.277647019523657,2.698472337244798
v0_baseline,07,BIBLIO+DEBATE25,GBT,60.55,7.95,0.7080008027650199,0.0789347777103103,0.3142857142857143,0.15595740296874866,0.27032509157509155,0.12253540143856576,4.917692377216073,2.7615827573051748
v0_baseline,07,BIBLIO+DEBATE25,LogReg,60.55,7.95,0.7393575812950663,0.06608480070483073,0.2938095238095238,0.15838048367994526,0.24261169386169387,0.1235129713240643,4.260264659568823,2.584213886812319
v0_baseline,07,BIBLIO+DEBATE25,RF,60.55,7.95,0.7173420042313668,0.05664549792195569,0.29166666666666663,0.19310142640173952,0.2538532301032301,0.15517041296410047,4.933997993194916,3.4217992358503744
v0_baseline,07,BIBLIO+DEBATE5,GBT,60.55,7.95,0.7119121711682559,0.07215812312426141,0.29761904761904756,0.15536320434885734,0.2578214840714841,0.1259814180155873,4.7215867055686065,3.1737097840059407
v0_baseline,07,BIBLIO+DEBATE5,LogReg,60.55,7.95,0.7503594698594758,0.07434441483178802,0.28904761904761905,0.17772548162666355,0.23740967365967366,0.1304713375633954,4.437172911970086,3.4435060980438763
v0_baseline,07,BIBLIO+DEBATE5,RF,60.55,7.95,0.7258709252083373,0.062082849299228804,0.275,0.1617563450652696,0.2407165057165057,0.13508843011842575,4.310947640853174,3.035493736879054
v0_baseline,08,BIBLIO,GBT,251.3,19.45,0.6896075460739554,0.06343134654383228,0.2251331908831909,0.08015783671298721,0.3003490947140833,0.09421124944441978,5.172178244679519,2.7730908289231238
v0_baseline,08,BIBLIO,LogReg,251.3,19.45,0.6531390168674633,0.06746778876337214,0.16058190883190884,0.062362596299361556,0.216906132927586,0.08109022776712073,3.1255994806788157,1.7789672065519022
v0_baseline,08,BIBLIO,RF,251.3,19.45,0.6827066205241739,0.05980344212440712,0.21348789173789173,0.08950077616340422,0.2787766620298085,0.08540568189452444,4.605604244617749,2.3194352589894702
v0_baseline,08,BIBLIO+DEBATE25,GBT,251.3,19.45,0.6922358810065294,0.0616520490922736,0.20019943019943018,0.08073321378108862,0.2723908731428754,0.1141405317576821,4.60713390323434,3.182281967506829
v0_baseline,08,BIBLIO+DEBATE25,LogReg,251.3,19.45,0.6564657799095871,0.0687547105554383,0.14894871794871795,0.04717238464687321,0.1991597345573318,0.053564836184437394,2.6637072349099613,0.9373852950715683
v0_baseline,08,BIBLIO+DEBATE25,RF,251.3,19.45,0.6780457894224006,0.05754408433409643,0.20124928774928774,0.07394098163914951,0.2669054821037086,0.08194520390878128,4.211392317946013,2.024606613248626
v0_baseline,08,BIBLIO+DEBATE5,GBT,251.3,19.45,0.6914273902911693,0.060493576567005804,0.21381410256410258,0.07755928459312773,0.28514809900879695,0.09096348127523063,4.703757640946885,2.2529598774951456
v0_baseline,08,BIBLIO+DEBATE5,LogReg,251.3,19.45,0.662530840080553,0.0696960996103142,0.14918589743589744,0.0584501749734183,0.20287965578154363,0.0785745705998746,2.849245079252141,1.6741111757060239
v0_baseline,08,BIBLIO+DEBATE5,RF,251.3,19.45,0.6805170907636658,0.057799884791927235,0.21348789173789173,0.08366518163526757,0.2811941648168765,0.08482587328201549,4.623552272131668,2.238969259548091
v0_baseline,09,BIBLIO,GBT,427.7,40.7,0.7029594074498993,0.03325194003346573,0.246844110044189,0.046468417419964304,0.2630006028629409,0.048823745547832816,4.07058597495481,1.1499461183877575
v0_baseline,09,BIBLIO,LogReg,427.7,40.7,0.6778643750781173,0.04381910717518788,0.19449103665822945,0.04108115057687631,0.20674925690714768,0.040275777245450464,2.7843455021707655,0.7659131268249922
v0_baseline,09,BIBLIO,RF,427.7,40.7,0.6928392398892074,0.0380439512137261,0.24094252408421685,0.047050340938470235,0.2552608452005683,0.04168199621297121,3.8631397442390094,0.9938388288288954
v0_baseline,09,BIBLIO+DEBATE25,GBT,427.7,40.7,0.6912048884519184,0.035224253459849544,0.2316668217353191,0.04383714155580727,0.24589325847027502,0.04012283434590866,3.630517938189974,0.9524787330018022
v0_baseline,09,BIBLIO+DEBATE25,LogReg,427.7,40.7,0.6837458546428784,0.04164461449154228,0.20235511917119356,0.05105050758642466,0.21632517717620092,0.05541178833579586,3.0335779309990505,1.1568197424255047
v0_baseline,09,BIBLIO+DEBATE25,RF,427.7,40.7,0.6868737033548291,0.03561334614523442,0.22454676048506966,0.04485542182438423,0.23827452380773892,0.043051642622165785,3.465847874471158,1.0197404777738632
v0_baseline,09,BIBLIO+DEBATE5,GBT,427.7,40.7,0.6932301116732182,0.03464039267139293,0.23516250821116538,0.044715450852781,0.2495557725214693,0.040557336351121756,3.7131573461063723,0.8949203464089236
v0_baseline,09,BIBLIO+DEBATE5,LogReg,427.7,40.7,0.6846907575566684,0.043126231713187295,0.20709674490347257,0.03729204669115135,0.22057625386157137,0.037139784606351804,3.04822033594833,0.7226318960787332
v0_baseline,09,BIBLIO+DEBATE5,RF,427.7,40.7,0.6894920695649658,0.038188839005009155,0.23774569039927002,0.04274938275382822,0.2527140892535788,0.04222816878782095,3.801772191192981,1.1149787625986418
v0_baseline,12,BIBLIO,GBT,26.3,7.35,0.871226449925316,0.05353358898450764,0.85,0.19421456754222646,0.37890873015873017,0.16091810126626432,23.392974432974434,21.003559670570606
v0_baseline,12,BIBLIO,LogReg,26.3,7.35,0.858895781172383,0.07198698276948688,0.6083333333333333,0.21814609622508863,0.256984126984127,0.10353812637381823,8.386437249025485,14.240139781532905
v0_baseline,12,BIBLIO,RF,26.3,7.35,0.8855615501797525,0.059094867762912846,0.875,0.17832062587943967,0.3809920634920635,0.13250609257249074,21.78966958966959,15.726816456574872
v0_baseline,12,BIBLIO+DEBATE25,GBT,26.3,7.35,0.8820903504122646,0.058024511195898805,0.9,0.18257418583505536,0.39369047619047615,0.13216295089837352,24.873057313057313,14.930016043461395
v0_baseline,12,BIBLIO+DEBATE25,LogReg,26.3,7.35,0.8268761746689967,0.08459584604066842,0.6416666666666666,0.2622719003393279,0.2649206349206349,0.09323262700397371,7.7554297398507925,6.5864427898679105
v0_baseline,12,BIBLIO+DEBATE25,RF,26.3,7.35,0.8758088594511733,0.050688180787976024,0.8416666666666666,0.2386303510546059,0.365515873015873,0.1486967213786085,21.274725274725277,16.298476824948057
v0_baseline,12,BIBLIO+DEBATE5,GBT,26.3,7.35,0.880375500915269,0.05522815384219289,0.85,0.19421456754222644,0.37890873015873017,0.16091810126626432,23.307504347504345,20.989247869303647
v0_baseline,12,BIBLIO+DEBATE5,LogReg,26.3,7.35,0.8297893449062517,0.0737238247700242,0.65,0.24720661623652213,0.26942460317460315,0.100444031732906,9.505071677777561,14.21101273977841
v0_baseline,12,BIBLIO+DEBATE5,RF,26.3,7.35,0.8847022088846528,0.060691343059073394,0.8583333333333334,0.2113379821282925,0.3738492063492064,0.14146031694474068,21.547991267991268,16.003698452589724
v0_baseline,13,BIBLIO,GBT,71.45,6.55,0.7672810926830792,0.07544613540466122,0.30964285714285716,0.1828831581979395,0.35075396825396826,0.16209026569620788,8.614727330654933,8.06204705490321
v0_baseline,13,BIBLIO,LogReg,71.45,6.55,0.8459659587659626,0.06560271278344154,0.3929563492063492,0.18960574899821808,0.47422619047619047,0.18911601319964613,15.807627998350608,14.485860548547933
v0_baseline,13,BIBLIO,RF,71.45,6.55,0.8154388055268,0.05841471442834026,0.3506746031746032,0.18176331850239807,0.4131150793650794,0.1559496161172029,11.448268209691491,10.191436057377175
v0_baseline,13,BIBLIO+DEBATE25,GBT,71.45,6.55,0.7628002335254433,0.066272537427692,0.28966269841269837,0.17633832875119124,0.3121031746031746,0.16657054056511164,7.224201722618835,6.8482828742988655
v0_baseline,13,BIBLIO+DEBATE25,LogReg,71.45,6.55,0.8404207018790251,0.06576682796807821,0.34402777777777777,0.1967031394545498,0.4001190476190476,0.15329116618816296,11.280608679070218,10.858956550053538
v0_baseline,13,BIBLIO+DEBATE25,RF,71.45,6.55,0.7991128513332791,0.06864752261378992,0.32551587301587304,0.1853153851679614,0.3698611111111111,0.1799314438109527,11.112861256938592,14.911790333505397
v0_baseline,13,BIBLIO+DEBATE5,GBT,71.45,6.55,0.7524771485900132,0.07518132821841111,0.33734126984126983,0.16033916637591847,0.38160714285714287,0.12646754751444894,8.523991527767752,4.301323961734436
v0_baseline,13,BIBLIO+DEBATE5,LogReg,71.45,6.55,0.8449585292579764,0.06320242069763306,0.38067460317460317,0.19361206163875447,0.4497023809523809,0.1598608887629596,13.151251468034683,10.231810640556478
v0_baseline,13,BIBLIO+DEBATE5,RF,71.45,6.55,0.8139833460811283,0.06188580505246151,0.34567460317460313,0.16468291209910482,0.4058333333333334,0.1329768763754867,9.68693487812369,5.6070091970878675
v0_baseline,14,BIBLIO,GBT,39.3,3.9,0.8626913319711657,0.08607048643103235,0.4366666666666667,0.20423870909403452,0.48976190476190473,0.24347689853319956,21.5862824159967,33.26351809772389
v0_baseline,14,BIBLIO,LogReg,39.3,3.9,0.8263246943865674,0.09668867581517855,0.2991666666666667,0.23267293763227545,0.3238095238095238,0.2513147194190626,10.074743880458167,13.1177802578066
v0_baseline,14,BIBLIO,RF,39.3,3.9,0.8485055269584768,0.09610935224263133,0.4691666666666666,0.20979487336178854,0.5160714285714285,0.18010597952882082,19.214149659863946,15.94331774746935
v0_baseline,14,BIBLIO+DEBATE25,GBT,39.3,3.9,0.8457421062513429,0.09085893475388289,0.42666666666666664,0.21523820613477748,0.45059523809523805,0.22003546866598256,15.003821067821068,13.311629637260014
v0_baseline,14,BIBLIO+DEBATE25,LogReg,39.3,3.9,0.8431943206376269,0.0911477534784721,0.37333333333333335,0.20415279222459684,0.3901190476190476,0.19507798771599924,10.657950937950938,9.532652109904632
v0_baseline,14,BIBLIO+DEBATE25,RF,39.3,3.9,0.850212465180307,0.08496467311005722,0.45666666666666667,0.1821252059525942,0.5060714285714286,0.16153110907927892,16.676825396825397,13.453376255253877
v0_baseline,14,BIBLIO+DEBATE5,GBT,39.3,3.9,0.8671226323658289,0.08847443849616282,0.4491666666666667,0.21008735303780843,0.48392857142857143,0.22519550986466322,21.62419624819625,33.07913868194001
v0_baseline,14,BIBLIO+DEBATE5,LogReg,39.3,3.9,0.8426025748063417,0.0830108605345923,0.35333333333333333,0.23085146233199114,0.3704761904761905,0.21741710905030748,11.10093229521801,12.36644071956994
v0_baseline,14,BIBLIO+DEBATE5,RF,39.3,3.9,0.8475530685149909,0.09713388060222089,0.4841666666666667,0.21154368578180738,0.5327380952380952,0.19156934903869335,24.971428571428568,33.48275816552873
v0_baseline,GLOBAL,BIBLIO,GBT,1418.0,177.0,0.749597895810286,0.01674831980752555,0.3640845070422535,0.02555515431673095,0.292090395480226,0.02050187521455254,5.303954129433035,0.7274447056038919
