dataset,field,seed,feature_set,model,n_test,n_pos,auc,P@10,R@10,DOR@10
v0_baseline,GLOBAL,0,BIBLIO,RF,1418,177,0.753024032924059,0.3028169014084507,0.24293785310734464,3.7136425622536473
v0_baseline,01,0,BIBLIO,RF,562,88,0.7204161871883391,0.2631578947368421,0.17045454545454544,2.1460584233693476
v0_baseline,03,0,BIBLIO,RF,27,7,0.7714285714285714,0.3333333333333333,0.14285714285714285,1.7076923076923076
v0_baseline,07,0,BIBLIO,RF,64,7,0.6165413533834587,0.14285714285714285,0.14285714285714285,1.8284023668639053
v0_baseline,08,0,BIBLIO,RF,262,21,0.716261608377791,0.2222222222222222,0.2857142857142857,4.3008252063015755
v0_baseline,09,0,BIBLIO,RF,409,39,0.7252945252945253,0.3170731707317073,0.3333333333333333,6.12214498510427
v0_baseline,12,0,BIBLIO,RF,30,8,0.9318181818181818,0.6666666666666666,0.25,5.512820512820513
v0_baseline,13,0,BIBLIO,RF,70,5,0.8492307692307692,0.42857142857142855,0.6,19.133333333333333
v0_baseline,14,0,BIBLIO,RF,38,4,0.9705882352941176,0.75,0.75,52.111111111111114
v0_baseline,GLOBAL,0,BIBLIO,GBT,1418,177,0.7446291263196712,0.3732394366197183,0.2994350282485876,5.533530771129209
v0_baseline,01,0,BIBLIO,GBT,562,88,0.6903528960490986,0.3333333333333333,0.2159090909090909,3.1810707278333177
v0_baseline,03,0,BIBLIO,GBT,27,7,0.8428571428571429,0.6666666666666666,0.2857142857142857,5.909090909090909
v0_baseline,07,0,BIBLIO,GBT,64,7,0.6340852130325815,0.14285714285714285,0.14285714285714285,1.8284023668639053
v0_baseline,08,0,BIBLIO,GBT,262,21,0.7808733451886979,0.2962962962962963,0.38095238095238093,7.184235517568851
v0_baseline,09,0,BIBLIO,GBT,409,39,0.7300762300762301,0.2682926829268293,0.28205128205128205,4.504745470232959
v0_baseline,12,0,BIBLIO,GBT,30,8,0.9147727272727273,0.6666666666666666,0.25,5.512820512820513
v0_baseline,13,0,BIBLIO,GBT,70,5,0.7723076923076924,0.2857142857142857,0.4,7.857142857142857
v0_baseline,14,0,BIBLIO,GBT,38,4,0.926470588235294,0.5,0.5,13.0
v0_baseline,GLOBAL,0,BIBLIO,LogReg,1418,177,0.7394210063872311,0.31690140845070425,0.2542372881355932,4.030943396226415
v0_baseline,01,0,BIBLIO,LogReg,562,88,0.7001822017644802,0.3684210526315789,0.23863636363636365,3.8265854895991884
v0_baseline,03,0,BIBLIO,LogReg,27,7,0.8071428571428572,0.3333333333333333,0.14285714285714285,1.7076923076923076
v0_baseline,07,0,BIBLIO,LogReg,64,7,0.6516290726817043,0.2857142857142857,0.2857142857142857,4.338842975206612
v0_baseline,08,0,BIBLIO,LogReg,262,21,0.6607389843904368,0.14814814814814814,0.19047619047619047,2.3908814589665655
v0_baseline,09,0,BIBLIO,LogReg,409,39,0.7453222453222453,0.24390243902439024,0.2564102564102564,3.8361581920903953
v0_baseline,12,0,BIBLIO,LogReg,30,8,0.8863636363636364,0.6666666666666666,0.25,5.512820512820513
v0_baseline,13,0,BIBLIO,LogReg,70,5,0.8707692307692307,0.42857142857142855,0.6,19.133333333333333
v0_baseline,14,0,BIBLIO,LogReg,38,4,0.9779411764705882,0.75,0.75,52.111111111111114
v0_baseline,GLOBAL,0,BIBLIO+DEBATE5,RF,1418,177,0.7550817866036593,0.34507042253521125,0.2768361581920904,4.731746395056077
v0_baseline,01,0,BIBLIO+DEBATE5,RF,562,88,0.7314202148062907,0.2982456140350877,0.19318181818181818,2.6258309591642925
v0_baseline,03,0,BIBLIO+DEBATE5,RF,27,7,0.7785714285714285,0.3333333333333333,0.14285714285714285,1.7076923076923076
v0_baseline,07,0,BIBLIO+DEBATE5,RF,64,7,0.6290726817042607,0.14285714285714285,0.14285714285714285,1.8284023668639053
v0_baseline,08,0,BIBLIO+DEBATE5,RF,262,21,0.7152736613317526,0.2222222222222222,0.2857142857142857,4.3008252063015755
v0_baseline,09,0,BIBLIO+DEBATE5,RF,409,39,0.7194733194733195,0.34146341463414637,0.358974358974359,7.102673796791444
v0_baseline,12,0,BIBLIO+DEBATE5,RF,30,8,0.9204545454545454,0.6666666666666666,0.25,5.512820512820513
v0_baseline,13,0,BIBLIO+DEBATE5,RF,70,5,0.8276923076923077,0.42857142857142855,0.6,19.133333333333333
v0_baseline,14,0,BIBLIO+DEBATE5,RF,38,4,0.9558823529411764,0.75,0.75,52.111111111111114
v0_baseline,GLOBAL,0,BIBLIO+DEBATE5,GBT,1418,177,0.7431040212695249,0.352112676056338,0.2824858757062147,4.922077371489136
v0_baseline,01,0,BIBLIO+DEBATE5,GBT,562,88,0.702891254315305,0.3157894736842105,0.20454545454545456,2.893168147948649
v0_baseline,03,0,BIBLIO+DEBATE5,GBT,27,7,0.7928571428571428,0.6666666666666666,0.2857142857142857,5.909090909090909
v0_baseline,07,0,BIBLIO+DEBATE5,GBT,64,7,0.6240601503759399,0.14285714285714285,0.14285714285714285,1.8284023668639053
v0_baseline,08,0,BIBLIO+DEBATE5,GBT,262,21,0.7152736613317526,0.2222222222222222,0.2857142857142857,4.3008252063015755
v0_baseline,09,0,BIBLIO+DEBATE5,GBT,409,39,0.726957726957727,0.2926829268292683,0.3076923076923077,5.261941448382126
v0_baseline,12,0,BIBLIO+DEBATE5,GBT,30,8,0.9375,1.0,0.375,28.636363636363637
v0_baseline,13,0,BIBLIO+DEBATE5,GBT,70,5,0.7538461538461538,0.2857142857142857,0.4,7.857142857142857
v0_baseline,14,0,BIBLIO+DEBATE5,GBT,38,4,0.963235294117647,0.75,0.75,52.111111111111114
v0_baseline,GLOBAL,0,BIBLIO+DEBATE5,LogReg,1418,177,0.7460131022457742,0.323943661971831,0.2598870056497175,4.197541322721094
v0_baseline,01,0,BIBLIO+DEBATE5,LogReg,562,88,0.7087888377445339,0.3333333333333333,0.2159090909090909,3.1810707278333177
v0_baseline,03,0,BIBLIO+DEBATE5,LogReg,27,7,0.8,0.3333333333333333,0.14285714285714285,1.7076923076923076
v0_baseline,07,0,BIBLIO+DEBATE5,LogReg,64,7,0.5889724310776943,0.14285714285714285,0.14285714285714285,1.8284023668639053
v0_baseline,08,0,BIBLIO+DEBATE5,LogReg,262,21,0.6765461371270499,0.14814814814814814,0.19047619047619047,2.3908814589665655
v0_baseline,09,0,BIBLIO+DEBATE5,LogReg,409,39,0.7604296604296603,0.2682926829268293,0.28205128205128205,4.504745470232959
v0_baseline,12,0,BIBLIO+DEBATE5,LogReg,30,8,0.8125,0.3333333333333333,0.125,1.64
v0_baseline,13,0,BIBLIO+DEBATE5,LogReg,70,5,0.8615384615384616,0.42857142857142855,0.6,19.133333333333333
v0_baseline,14,0,BIBLIO+DEBATE5,LogReg,38,4,0.9779411764705882,0.75,0.75,52.111111111111114
v0_baseline,GLOBAL,0,BIBLIO+DEBATE25,RF,1418,177,0.7511802492067177,0.3380281690140845,0.2711864406779661,4.547710976282405
v0_baseline,01,0,BIBLIO+DEBATE25,RF,562,88,0.7358314154200231,0.38596491228070173,0.25,4.188817113205549
v0_baseline,03,0,BIBLIO+DEBATE25,RF,27,7,0.7714285714285714,0.3333333333333333,0.14285714285714285,1.7076923076923076
v0_baseline,07,0,BIBLIO+DEBATE25,RF,64,7,0.68671679197995,0.2857142857142857,0.2857142857142857,4.338842975206612
v0_baseline,08,0,BIBLIO+DEBATE25,RF,262,21,0.6941315945465323,0.2222222222222222,0.2857142857142857,4.3008252063015755
v0_baseline,09,0,BIBLIO+DEBATE25,RF,409,39,0.7121968121968121,0.24390243902439024,0.2564102564102564,3.8361581920903953
v0_baseline,12,0,BIBLIO+DEBATE25,RF,30,8,0.8806818181818182,0.6666666666666666,0.25,5.512820512820513
v0_baseline,13,0,BIBLIO+DEBATE25,RF,70,5,0.8184615384615385,0.2857142857142857,0.4,7.857142857142857
v0_baseline,14,0,BIBLIO+DEBATE25,RF,38,4,0.9338235294117647,0.5,0.5,13.0
v0_baseline,GLOBAL,0,BIBLIO+DEBATE25,GBT,1418,177,0.738669835243129,0.3732394366197183,0.2994350282485876,5.533530771129209
v0_baseline,01,0,BIBLIO+DEBATE25,GBT,562,88,0.7159090909090908,0.38596491228070173,0.25,4.188817113205549
v0_baseline,03,0,BIBLIO+DEBATE25,GBT,27,7,0.8285714285714285,0.6666666666666666,0.2857142857142857,5.909090909090909
v0_baseline,07,0,BIBLIO+DEBATE25,GBT,64,7,0.6140350877192983,0.14285714285714285,0.14285714285714285,1.8284023668639053
v0_baseline,08,0,BIBLIO+DEBATE25,GBT,262,21,0.6903773957715866,0.18518518518518517,0.23809523809523808,3.251851851851852
v0_baseline,09,0,BIBLIO+DEBATE25,GBT,409,39,0.7264726264726264,0.2926829268292683,0.3076923076923077,5.261941448382126
v0_baseline,12,0,BIBLIO+DEBATE25,GBT,30,8,0.9090909090909091,1.0,0.375,28.636363636363637
v0_baseline,13,0,BIBLIO+DEBATE25,GBT,70,5,0.7569230769230769,0.14285714285714285,0.2,3.051282051282051
v0_baseline,14,0,BIBLIO+DEBATE25,GBT,38,4,0.9044117647058824,0.5,0.5,13.0
v0_baseline,GLOBAL,0,BIBLIO+DEBATE25,LogReg,1418,177,0.74408737258544,0.323943661971831,0.2598870056497175,4.197541322721094
v0_baseline,01,0,BIBLIO+DEBATE25,LogReg,562,88,0.7151179516685846,0.3333333333333333,0.2159090909090909,3.1810707278333177
